Seq,KIC,dr2_source_id,Gmag,BP-RP,Teff,Mass,SpT,Prot,e_Per,NQ,f_Seq,Simbad,_RA,_DE,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_possible_binary,flag_benchmark_period
13,9655145,2128121080738614016,13.905,0.67,6374,1.228,F5,1.49,0.0025,15,Y,Simbad,294.25241,46.39624,0.6700268,2128121080738614016,0.031672645,-0.011881828,294.2523932086942,46.39620231446433,0.8634469083826657,0.011391002,75.80079,-3.285270239973903,-8.569993935514493,1.0184921,4446.8677,13.89317,1511.4375,32084.805815077074,1601.6909,1.1872473,0,0,0,2,0.66755676,0.25653362,0.41102314,2.4885175,10.570078,2,6.4224744,-1,-1,79.19585247496366,12.06041269181844,314.4405510987287,66.13415256046669,0,6592.452,6574.8145,6614.9106,0.2489,0.2166,0.1171,6346.897,0,False,0.011881828,False,3.574348550892628,False,False,False,False,True
14,9594739,2128107714800080384,13.891,0.671,6370,1.227,F5,2.22,0.1145,15,Y,Simbad,294.44784,46.27344,0.67152214,2128107714800080384,0.03345196,-0.01386261,294.4478133389909,46.273398805930405,0.8730234070668271,0.012084455,72.24351,-3.38753133682404,-8.876921120350858,1.0362293,3572.5127,13.876815,1196.0027,32475.60545275415,1824.0685,1.185388,0,1,0,0,0.66442966,0.25661755,0.40781212,6.886971,5.904265,2,5.5013504,-1,-1,79.14640492534875,11.884498000135924,314.62237378829053,65.96730402106425,0,6442.57,6426.208,6459.775,0.158,0.1371,0.074,6343.5703,0,False,0.01386261,False,3.581944281964356,False,False,False,False,True
15,9469799,2128018963596952832,13.896,0.672,6370,1.227,F5,2.49,0.1439,15,Y,Simbad,293.80538,46.06207,0.6716051,2128018963596952832,0.059650797,-0.012032509,293.8053555960814,46.06203482399684,0.8712239564949976,0.012356419,70.507805,-3.4005976529699287,-8.910426017781434,1.0221553,3559.7175,13.884028,954.338,32297.399260703718,1733.8853,1.1857666,0,1,0,0,0.6662779,0.257226,0.4090519,1.6740896,6.3596287,2,6.4344783,-1,-1,78.74829336392762,12.186222330632848,313.4138810114493,65.95108445970445,0,6439.165,6420.5415,6463.574,0.1563,0.1355,0.073,6343.3853,0,False,0.012032509,False,3.584677479411072,False,False,False,False,True
17,9594038,2128118057081550464,13.944,0.674,6365,1.225,F5,1.9,0.041,15,Y,Simbad,294.213,46.21722,0.67387676,2128118057081550464,0.072358966,-0.012924194,294.2129753148945,46.217183892849135,0.8397146068746221,0.011895168,70.59292,-3.2700383801827257,-8.73586002546411,0.9656796,4050.917,13.931571,1078.8818,30921.076157393534,1605.107,1.1848844,0,0,0,0,0.6684942,0.25918198,0.40931225,21.676117,11.409222,2,5.7946186,-1,-1,79.01998161628377,12.003821137275368,314.20164721468524,65.98121589308154,0,6449.952,6433.2783,6466.204,0.1731,0.1501,0.081,6338.2876,0,False,0.012924194,False,3.5522295458960684,False,False,False,False,True
18,9716253,2128144857677611264,13.931,0.674,6365,1.225,F5,2.75,0.247,15,Y,Simbad,294.28921,46.46533,0.67395496,2128144857677611264,0.019842513,-0.012704849,294.28919137766667,46.46529364301948,0.8742886134467704,0.011697498,74.7415,-3.260271322984177,-8.86503218623007,1.012552,3809.9504,13.918075,1195.4833,31348.806539830188,1590.126,1.1863168,0,1,0,0,0.6687155,0.25798416,0.41073132,7.4076414,7.2523174,2,6.069126,-1,-1,79.27059954819924,12.06900504659717,314.5670929718003,66.18707762091117,0,6453.724,6438.214,6471.673,0.174,0.1509,0.0814,6338.1074,0,False,0.012704849,False,3.6263487191697994,False,False,False,False,True
20,9777089,2128141524783121792,14.0,0.678,6356,1.222,F5,3.21,0.1883,15,Y,Simbad,294.47092,46.59298,0.67849064,2128141524783121792,0.028566234,-0.012784958,294.4708959847828,46.592943623864095,0.8609710082130607,0.012470215,69.0422,-3.3662936274153794,-8.731694776635791,1.0188826,4281.696,13.98741,986.1855,29419.226641843736,2005.3607,1.1853532,0,0,0,1,0.6712971,0.26020527,0.4110918,17.272236,9.053567,2,5.0225916,-1,-1,79.44484477337848,12.015319112080922,314.9791604007741,66.25275944301116,0,6351.893,6338.266,6366.727,0.1232,0.1066,0.0575,6327.7637,0,False,0.012784958,False,3.662352229401405,False,False,False,False,True
21,9655727,2128132075854976896,13.975,0.681,6350,1.22,F5,3.03,0.1512,15,Y,Simbad,294.44628,46.38969,0.68090725,2128132075854976896,0.028643224,-0.011821747,294.4462548424321,46.389649565676315,0.882002443129785,0.012093172,72.933914,-3.409342863407865,-8.863541037715141,1.0275397,3472.388,13.963054,1134.489,30213.865057485713,1772.8021,1.1882842,0,0,0,0,0.67524815,0.25957394,0.4156742,13.304065,9.167537,2,3.670869,-1,-1,79.25176861134861,11.938227122441917,314.7358199966582,66.07402658036735,0,6359.9497,6343.7314,6375.264,0.1399,0.1209,0.0653,6322.167,0,False,0.011821747,False,3.6904026439122983,False,False,False,False,True
22,9591888,2128077168993658624,14.012,0.681,6350,1.22,F5,3.03,0.1512,15,Y,Simbad,293.41586,46.20412,0.68123245,2128077168993658624,0.03799612,-0.013324738,293.41584037714404,46.20407823831652,0.85530252193797,0.012685957,67.4212,-3.081212398841581,-8.99164943367079,0.97447973,3390.7832,13.998137,1022.7135,29191.50745580415,1594.7164,1.186118,0,0,0,0,0.6746044,0.26122093,0.41338348,8.687463,7.329923,2,5.827157,-1,-1,78.75520357702686,12.491168065413213,312.9394352242718,66.18773139717689,0,6351.4956,6336.7075,6367.055,0.143,0.1237,0.0669,6321.411,0,False,0.013324738,False,3.6587362370007668,False,False,False,False,True
24,9655716,2128132075854974336,14.072,0.685,6340,1.217,F5,3.37,0.2665,12,Y,Simbad,294.44456,46.38496,0.6854162,2128132075854974336,0.06440492,-0.0118227005,294.444536325785,46.38492136420499,0.8915203850455896,0.012726776,70.050766,-3.398298546632992,-8.722807294578006,0.99989104,3586.6707,14.060367,1092.368,27698.841455910533,1384.2266,1.1881323,0,0,0,0,0.68168736,0.26306248,0.41862488,nan,nan,-1,nan,-1,-1,79.24691227791939,11.937138018102933,314.7284174933481,66.07018640903758,0,6375.688,6355.7856,6398.7144,0.1628,0.1408,0.076,6311.5747,0,False,0.0118227005,False,3.811023020447559,False,False,False,False,True
25,9655385,2128109123549687680,14.035,0.698,6312,1.208,F8,3.15,0.149,15,Y,Simbad,294.33483,46.36843,0.69763565,2128109123549687680,0.013452985,-0.012589455,294.3348049537392,46.368386654196925,0.8987266560343109,0.012793259,70.250015,-3.480711965814069,-8.823420622220617,1.0785166,4271.646,14.022384,1073.1212,28831.802349968053,1776.2976,1.1880612,0,0,0,0,0.69342613,0.2692585,0.42416763,3.9298916,6.1242204,2,4.732551,-1,-1,79.1967726906756,11.99712795322455,314.54120407768994,66.0857359361304,0,6350.6064,6335.782,6367.059,0.1668,0.1439,0.0776,6281.914,0,False,0.012589455,False,3.790521804681241,False,False,False,False,True
