Seq,n_Seq,TIC,Gmag,__G-K_0,Prot,n_Per,e_Per,Grade,Sect,_RA,_DE,dr2_source_id,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,Teff_Mamajek,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_possible_binary,flag_pass_author_quality,flag_benchmark_period
27,* ,288454252,15.519,3.93,0.587, ,0.004,A,              ,203.51969,46.64028,1551723103671639808,2.85213,1551723103671639808,0.13823837,-0.0138196945,203.51956691581566,46.64025541831046,11.12531993224885,0.038424537,289.53687,-19.537926092831455,-6.156297638945443,1.4722006,1406.0386,15.505052,213.87904,16138.007457622707,630.619,1.5331955,0,2,0,0,2.859189,1.582408,1.2767811,1.9512265,5.3059607,2,5.950485,,,102.41633956704774,68.75287341674257,176.56128317183968,50.90012370597107,0,,,,,,,3262.5938,3705.716686291332,2,True,0.0138196945,False,10.736614157326676,True,True,False,True,False,False
29,*a,1001374231,15.71,3.602,1.97,*,0.08,A,15/16/22      ,204.02304,58.81558,1662057686768790272,2.9123268,1662057686768790272,0.07821241,-0.034290314,204.0228754579751,58.81556215946556,10.356809932026763,0.032439813,319.26233,-19.372382136932586,-4.496748933801338,1.2291471,852.0494,15.675353,111.58452,13573.604865150215,153.44574,1.5048109,0,0,0,0,2.883996,1.6248007,1.2591953,14.156905,4.7849402,2,4.7660236,,,112.21609213980841,57.374028020184056,162.74489056385184,60.31485036933223,0,,,,,,,3226.8125,3404.5805068007976,1,True,0.034290314,False,10.751483081011969,True,True,False,True,False,False
30,*a,1001374230,15.444,3.512,0.487,*,0.005,A,15/16/22      ,204.02392,58.81592,1662057686768790144,2.9883099,1662057686768790144,0.097340524,-0.022704124,204.0237770852934,58.81589457080261,10.234070283829642,0.030367106,337.0117,-16.74120718925411,-5.6825101182188344,1.2587428,1579.2021,15.421317,101.26552,18634.857702696136,71.30517,1.6226511,0,11,0,16,2.9623013,1.6130648,1.3492365,,,,,,,112.21546870142834,57.37356383522605,162.74503872459726,60.3154187598247,0,3407.403,3405.2786,3409.5325,1.125,0.7125,0.4727,3179.0,3425.0450374001002,1,True,0.022704124,False,10.471559076630236,True,True,False,True,False,False
31,  ,332277847,15.307,3.714,6.13, ,0.78,A,15/16         ,204.1555,48.85436,1552518737773228672,2.7201786,1552518737773228672,0.031167801,-0.027467728,204.15537370800493,48.85432981694182,11.008275283524476,0.027174562,405.09485,-19.048354406250418,-6.402712619123051,1.1881183,2279.7522,15.279593,188.30736,18622.130136392854,858.5656,1.4584296,0,5,0,3,2.7240944,1.5173235,1.2067709,-4.291835,5.70298,2,6.460107,,,104.01087520742998,66.58066095154113,175.00162938911785,52.93975152498097,0,3379.233,3373.922,3387.6973,0.8455,0.5436,0.3502,3332.5781,3426.483502364734,0,False,0.027467728,False,10.488189874777134,False,False,False,False,True,True
32,  ,141814573,15.578,3.65,1.4, ,0.04,A,15/22         ,204.56239,54.65774,1562056417028500352,2.7282724,1562056417028500352,0.066652074,-0.028412819,204.56224109915794,54.657715669481604,11.245951787943593,0.02513214,447.4729,-18.820490606709118,-5.3115326554919315,1.1052401,2280.8442,15.549674,215.62158,14511.401791798604,959.32336,1.4571506,0,8,0,2,2.7259884,1.5199366,1.2060518,,,,,,,108.84844974597793,61.17206091591801,168.83310554578617,57.57004986845936,0,,,,,,,3328.6875,3406.4948336012385,1,True,0.028412819,False,10.804655120775658,False,False,False,True,True,False
33,  ,311068695,16.206,3.699,0.633, ,0.008,A,15/16/21/22   ,204.72764,60.79006,1662827207468895360,2.7121878,1662827207468895360,0.080871776,-0.023550034,204.7274784783745,60.7900398056585,9.08051281731451,0.033455517,271.4205,-17.903034096017564,-4.237985102426271,1.0807363,1720.0399,16.182508,100.94033,8068.793446862686,629.6115,1.4548364,0,5,0,2,2.7042494,1.502615,1.2016344,,,,,,,112.75426020713198,55.39026183686655,160.16363713506001,61.886205389113904,0,3344.6094,3341.328,3350.4644,0.7104,0.4548,0.295,3337.0156,3419.812446106148,0,False,0.023550034,False,10.973060347489398,False,False,False,False,True,True
35,  ,311068638,11.854,2.382,8.9, ,1.7,B,16            ,204.86361,61.06175,1662855584317183744,1.4245892,1662855584317183744,0.27087075,-0.0087070465,204.86345066815085,61.06172581076397,10.168927697550082,0.00999598,1017.30164,-17.799943038169143,-4.421195922461474,1.0104882,2963.2847,11.845004,765.1094,293673.7195251531,1111.9618,1.2540765,0,1,0,0,1.4097242,0.6429529,0.7667713,-4.7209616,0.45450944,1,47.06919,,,112.79847495376605,55.11179476217212,159.808486624156,62.11065298658023,0,4565.2427,4562.8374,4567.534,0.2188,0.1662,0.0868,4406.0273,4495.778805432936,0,False,0.0087070465,False,6.88137987898995,False,False,False,False,False,False
37,  ,288512352,15.273,3.977,0.496, ,0.005,A,16/22/23      ,205.35055,47.87874,1552233483225261568,3.0146618,1552233483225261568,0.15172547,-0.02607441,205.35041711196996,47.87871667911601,11.482753299487818,0.059476975,193.06216,-20.54460571500598,-9.216264851303375,2.5152862,1664.0468,15.247057,197.51143,20384.468583427217,1176.3988,1.5038912,0,11,0,2,3.019948,1.7475376,1.2724104,,,,,,,101.06934219587528,67.07322124752592,177.01798745547393,52.63146632414633,0,,,,,,,3162.5,3826.4182036071998,1,True,0.02607441,False,10.54728713281854,True,True,False,True,True,False
38,  ,332313010,14.343,3.61,4.23, ,0.37,A,15/16/22/23   ,205.39718,53.56218,1561672378233017728,2.593463,1561672378233017728,0.04608853,-0.021793365,205.39703779302997,53.56215895126103,10.573745830135238,0.016812166,628.93414,-18.367209659140936,-4.73164049885615,1.168802,1798.1389,14.321616,322.50296,43492.5358219212,845.57416,1.4310194,0,2,0,2,2.5972614,1.4275036,1.1697578,-0.330776,4.6993055,2,11.330943,,,106.99834930994031,61.987263664698425,170.86326393000672,57.081567637200315,0,3444.6504,3443.631,3445.7283,0.8375,0.5476,0.3442,3393.7188,3404.2083436197736,0,False,0.021793365,False,9.442760506286916,False,True,False,True,True,False
39,  ,332312964,9.58,1.341,4.98, ,0.52,A,15/16/22/23   ,205.40225,53.33753,1561660249245388672,0.81090355,1561660249245388672,0.18305083,0.00578022,205.40211544452362,53.337506753678326,10.504028683629615,0.012202885,860.7824,-18.27646955475405,-4.8302592657512475,0.9509496,2477.613,9.585494,786.7512,1813809.4654502003,1078.2192,1.1988834,0,1,0,2,0.80132866,0.3172512,0.48407745,-4.775722,0.25495994,1,144.65118,13.611961,3.1377609,106.79434531371847,62.19063206545965,171.13954567451586,56.914734508981205,0,5758.327,5742.2847,5773.2993,0.0282,0.0237,0.0127,5828.0483,5834.8478134127345,0,False,0.00578022,False,4.692273536555362,False,False,False,False,True,True
39,  ,332312964,9.58,1.341,0.363, ,0.004,A,15/16/22/23   ,205.40225,53.33753,1561660249245388672,0.81090355,1561660249245388672,0.18305083,0.00578022,205.40211544452362,53.337506753678326,10.504028683629615,0.012202885,860.7824,-18.27646955475405,-4.8302592657512475,0.9509496,2477.613,9.585494,786.7512,1813809.4654502003,1078.2192,1.1988834,0,1,0,2,0.80132866,0.3172512,0.48407745,-4.775722,0.25495994,1,144.65118,13.611961,3.1377609,106.79434531371847,62.19063206545965,171.13954567451586,56.914734508981205,0,5758.327,5742.2847,5773.2993,0.0282,0.0237,0.0127,5828.0483,5834.8478134127345,0,False,0.00578022,False,4.692273536555362,False,False,False,False,True,True
40,  ,310995545,14.387,3.685,0.481, ,0.005,A,16/22         ,205.56735,48.07972,1552239530539219328,2.64987,1552239530539219328,0.08375451,-0.021486282,205.56722646828499,48.079699109334236,10.730632827261509,0.022701832,472.67697,-18.355303334498487,-5.830740677427246,1.4190738,1452.9802,14.365506,278.1567,42378.32149183504,657.67725,1.4421245,0,7,0,1,2.652234,1.4667645,1.1854696,-0.770586,3.86788,2,14.006851,,,101.00195450628082,66.82672366416888,177.01393434503902,52.87935979034953,0,3442.4648,3425.4663,3465.136,0.8926,0.5804,0.3686,3366.7656,3414.7250099870826,0,False,0.021486282,False,9.518632845981745,True,True,False,True,True,False
41,  ,310996926,15.158,3.682,1.23, ,0.03,A,15/16/22/23   ,205.77548,51.35167,1559141233746429184,2.6560163,1559141233746429184,0.0533412,-0.021676064,205.77534841042316,51.35164452267732,10.334751205996406,0.028969878,356.74127,-18.067714454062894,-6.116882226327861,1.1838015,1040.1571,15.135986,146.71925,20960.286423259116,306.21487,1.4489117,0,3,0,2,2.6600552,1.4684715,1.1915836,-11.25583,6.6899724,2,6.44376,,,104.44385989427691,63.88205384233563,173.75992984519416,55.54540669225371,0,3404.3328,3392.3928,3411.7268,0.8039,0.5205,0.3321,3363.9062,3413.7730122978683,0,False,0.021676064,False,10.207486458551864,False,False,False,False,True,True
42,  ,141819826,9.534,1.337,7.1, ,1.2,B,16/15/22/23   ,205.7825,54.02592,1561779889854217856,0.8077011,1561779889854217856,0.16552623,0.0073041916,205.78235094869063,54.02590264872479,10.658981436798541,0.0119997095,888.26996,-19.29966698562263,-3.6742398054579537,1.0538392,2431.617,9.54117,624.09314,1889028.6500780755,951.85425,1.200485,0,43,0,43,0.7976656,0.3137951,0.4838705,,,,,,,106.96633227284738,61.47090305789505,170.6072836401436,57.57932915642464,0,5803.9683,5782.2153,5827.377,0.0316,0.0266,0.0143,5837.979,5841.406147274895,0,False,0.0073041916,False,4.679748649549065,False,False,False,False,False,False
43,  ,141819348,15.914,3.976,0.453, ,0.004,A,15            ,205.85776,56.48046,1562652455409400192,3.0219727,1562652455409400192,0.073836714,-0.02596283,205.8576038155436,56.48042775117492,13.31583467839321,0.03627048,367.12595,-19.85597181047694,-7.249607045107625,1.1440729,1735.2461,15.887865,117.26075,11202.304055190374,761.7,1.4912145,0,6,0,1,3.0201387,1.7569008,1.263238,,,,,,,108.8904444335444,59.20790088367383,167.44638228231557,59.39577666633298,0,,,,,,,3157.9375,3823.5670011513002,0,False,0.02596283,False,11.509707039388813,False,False,False,False,True,True
45,  ,311001628,6.009,0.01,0.602, ,0.008,A,16            ,205.97824,52.06441,1559292485314843008,0.01041317,1559292485314843008,0.13006476,0.013758659,205.97810999022136,52.064389143767265,10.788256585918775,0.029746177,362.6771,-18.291861137549343,-5.4500554582432015,0.876659,2902.5642,6.023171,1326.4039,31294850.983385276,997.4746,1.1583867,0,0,0,0,0.003841877,-0.0101156235,0.0139575,-2.7959075,0.6909684,1,634.5171,145.85982,5.068613,104.91155375235664,63.188976097002566,173.12240883793447,56.17452415767873,0,9680.803,9638.855,9716.978,0.0425,0.0408,0.0217,,8274.022760798347,0,False,0.013758659,False,1.1879272834490937,False,False,False,False,True,True
