dr2_source_id,dr2_bp_rp,dist,Seq,RAJ2000,DEJ2000,Prot,V0mag,__B-V_0,o_RVel,RVel,e_RVel,PRV,PPM,Mm,Rot,JP96,dr3_source_id,angular_distance,magnitude_difference,proper_motion_propagation,abs_magnitude_difference,Teff_Curtis20
340173818005674112,0.46422386,0.0003470645790375,1,40.22733333333333,42.9657936111111,0.11,12.45,0.24,1,5.6,0.0,8,0,NM,i,0,340173818005674112,0.22862296,-0.012336731,True,0.012336731,
337194790034396928,1.0131302,0.000340107333507,2,40.460833333333326,43.024116388888885,0.13,19.43,,0,,,0,0,NM,c,0,337194790034396928,3.0693204,-0.10589218,True,0.10589218,5465.944451847278
337153940600562432,0.75595474,0.0002941169034255,3,40.543791666666664,42.77589416666666,0.16,18.42,0.48,0,,,0,0,NM, ,0,337153940600562432,0.33155066,-0.039316177,True,0.039316177,6235.760692388767
337162904196772736,0.69415474,0.0002913543444475,4,40.16725416666666,42.77562333333333,0.19,18.94,0.3,0,,,0,0,NM,i,0,337162904196772736,0.22601087,-0.051841736,True,0.051841736,6381.183065086125
337194966128117376,0.8644581,0.000333070322337,5,40.38104166666666,42.98495472222222,0.21,16.08,0.53,0,,,0,0,NM, ,0,337194966128117376,0.1264971,-0.014381409,True,0.014381409,5920.952968468577
337175827754100224,0.31862164,0.0003131229570898,6,40.80499999999999,42.84033972222222,0.36,15.83,0.12,0,,,0,0,NM,i,1,337175827754100224,0.022259967,-0.023723602,True,0.023723602,
337175174919090688,2.0781689,0.0003329970996813,7,40.75874999999999,42.78165805555555,0.49,17.67,1.44,0,,,0,0,PM,c,0,337175174919090688,0.08187302,-0.029556274,True,0.029556274,3782.7379443796344
337169157669263616,1.195219,0.0003378730344629,8,40.24207916666666,42.829002499999994,0.51,16.92,0.79,0,,,0,0,NM,c,0,337169157669263616,0.07869261,-0.020820618,True,0.020820618,4981.055892937149
337156929897885184,2.2282257,0.0002458756895627,9,40.26799583333333,42.58651722222222,0.51,17.42,1.42,0,,,0,0,PM,c,0,337156929897885184,0.48543355,-0.018650055,True,0.018650055,3658.7144542283277
337165348033715840,1.8416872,0.0003319108853862,10,40.433208333333326,42.75221249999999,0.59,16.79,1.34,0,,,0,0,PM,c,0,337165348033715840,0.1854752,-0.029108047,True,0.029108047,4009.3523323072895
337181084794057472,1.2506638,0.0003148558236521,11,40.87658333333333,42.88396833333333,0.72,14.74,0.84,13,-7.5,1.3,95,2,KM,c,1,337181084794057472,0.070449784,-0.007903099,True,0.007903099,4856.6404455518405
337185414120834688,1.4888258,0.0003034848132945,12,40.75020416666666,42.96700666666666,0.79,15.6,1.04,12,-13.4,3.0,6,47,NM,c,1,337185414120834688,0.14504732,0.004058838,True,0.004058838,4433.955990047722
337143456584332928,2.1688232,0.000248749139528,13,40.376,42.46525944444444,0.79,17.93,1.4,0,,,0,0,NM,c,0,337143456584332928,0.20715198,-0.024715424,True,0.024715424,3705.7065822393233
337125726965406592,1.0033693,0.0002697153424213,14,40.8835,42.64196777777777,0.81,13.38,0.68,8,-7.8,0.1,96,8,KM,c,1,337125726965406592,0.08394816,-0.015068054,True,0.015068054,5494.850206569219
337150676425488256,1.7740116,0.0002563462706181,15,40.47216666666666,42.59049999999999,0.88,16.08,1.16,6,-6.9,1.7,91,0,KM,c,0,337150676425488256,0.058094222,-0.036917686,True,0.036917686,4080.7497486371612
337148820999608960,0.5587473,0.0003160295768478,16,40.572958333333325,42.58432388888888,0.88,15.53,0.29,0,,,0,0,NM,i,1,337148820999608960,0.12723695,-0.010541916,True,0.010541916,
