star_mass,initial_mass,log_Teff,log_L,log_R,EEP,phase,mass_conv_core,log_center_T,log_center_Rho,surface_he3,pp,age,Teff,L,R
0.6693634351371225,0.6693649583312972,3.6365584076634514,-0.9281172214022803,-0.2144982738459293,202,0.0,0.05475996521005767,7.02262419083028,1.8987933757811482,6.636567243570073e-05,-0.9035984755354987,8.0,4330.703068475112,0.11800020956400034,0.6102414821157871
0.641629084530307,0.641630539785601,3.624814600561576,-1.0088882464009152,-0.23139617214149458,202,0.0,0.05075849854998095,7.011083833429057,1.899183788545657,6.638734142120256e-05,-0.9838604017185978,8.05,4215.16520461677,0.09797420623296504,0.5869536773170805
0.6138947339234913,0.6138961212399048,3.6130707934597,-1.0896592713995505,-0.24829407043705992,202,0.0,0.0467570318899042,6.999543476027833,1.8995742013101662,6.640901040670438e-05,-1.0641223279016971,8.100000000000001,4102.709749728491,0.08134684779329424,0.564554572923437
0.5703859229529095,0.5703871831483056,3.5985240832047563,-1.2117779596213198,-0.28025999403805824,202,0.0,0.04135451989140955,6.983211186800894,1.9073764505442492,6.64924502794635e-05,-1.184179833912943,8.15,3967.5652991075267,0.0614075881572106,0.5244933738818542
0.4944136225059971,0.49441465342285307,3.578213507704732,-1.4214754149750535,-0.3444875707148757,202,0.0,0.026619988902872888,6.954630645768116,1.934058657348115,6.689787137219205e-05,-1.4091745670806717,8.200000000000001,3786.2868027159157,0.03788999823328575,0.4523894092998882
0.3868928462446274,0.3868936040961727,3.5540422907113305,-1.7250438634874228,-0.4479293609842593,202,0.0,0.0030598444660663356,6.907103113476013,1.9548816708590127,7.049512019066011e-05,-1.7640617318137486,8.25,3581.313095015689,0.018834588516459628,0.3565091157541944
0.3294215456634997,0.32942218100500065,3.54090773803019,-1.8876468705765024,-0.5029617591665183,202,0.0,0.004032768849369131,6.886815148898535,1.9609995463145575,8.654794757829713e-05,-1.929135766476141,8.3,3474.6233834271075,0.01295248593681801,0.3140785236550712
0.31997512120314386,0.3199757466612262,3.538403395327142,-1.917229874579001,-0.5127445757616699,202,0.0,0.030543043461176755,6.885390793015407,1.9651339893942312,0.00011765099511482999,-1.9482628487900864,8.350000000000001,3454.644757467813,0.012099575265159685,0.3070827521738609
0.31808336987524394,0.3180840061789628,3.53791030352868,-1.924052896784362,-0.5151699032674265,202,0.0,0.08353744721760988,6.885257567482889,1.9685904490703048,0.00016280844578290475,-1.9493199670683345,8.4,3450.724628631577,0.011910969243642393,0.3053726210712831
0.3161916185473439,0.31619226569669934,3.537417211730218,-1.9308759189897229,-0.5175952307731833,202,0.0,0.1365318509740461,6.885124341950372,1.9720469087463788,0.00020796589645098214,-1.9503770853465823,8.450000000000001,3446.8089481282836,0.011725303179154422,0.30367201361784324
0.3142998672194439,0.31430052521443597,3.536924119931755,-1.9376989411950836,-0.5200205582789399,202,0.0,0.1895262547304792,6.884991116417854,1.975503368422452,0.00025312334711905687,-1.9514342036248302,8.5,3442.8977109102248,0.011542531244169884,0.30198087677673446
0.31240811589154394,0.3124087847321725,3.536431028133294,-1.944521963400445,-0.5224458857846966,202,0.0,0.24252065848691548,6.884857890885337,1.978959828098526,0.00029828079778713426,-1.9524913219030784,8.55,3438.9909119354347,0.011362608325514167,0.30029915780650973
0.3105163645636439,0.310517044249909,3.5359379363348316,-1.9513449856058058,-0.5248712132904534,202,0.0,0.29551506224335167,6.884724665352819,1.9824162877745999,0.0003434382484552117,-1.9535484401813263,8.600000000000001,3435.088546167637,0.01118549001322883,0.2986268042594369
0.3015158963554758,0.30151657037573487,3.533512498567352,-1.9783731708000063,-0.5335344303525934,202,0.0,0.3015158963554758,6.879938581180886,1.994796443855986,0.00038032551170169327,-1.9786663368412445,8.65,3415.9578133466644,0.010510583559039622,0.2927288790178788
0.27231733361870925,0.2723179471712033,3.5265105406880792,-2.069148008314931,-0.5649179333515107,202,0.0,0.27231733361870925,6.862056742516582,2.0408804096035715,0.0003897743222602294,-2.0693978943867104,8.700000000000001,3361.325271638924,0.008528094255510606,0.27232158531465983
0.24539422846601644,0.24539478699573292,3.5200774538517403,-2.1558209371472943,-0.5953882240950134,202,0.0,0.24539422846601644,6.844813987308135,2.086073944139365,0.00040197436018848894,-2.1560586338494274,8.75,3311.90182025665,0.006985203498599561,0.25387022966659895
0.22996695591186445,0.22996748926307603,3.5163319070091337,-2.2131547950140256,-0.6165640593431667,202,0.0,0.22996695591186445,6.833053809165099,2.118527319864277,0.0004291753444555001,-2.2133071076865103,8.8,3283.461338550241,0.0061213217136805755,0.2417886668292623
0.21453968335771245,0.21454019153041914,3.5125863601665275,-2.2704886528807573,-0.6377398945913201,202,0.0,0.21453968335771245,6.821293631022063,2.150980695589189,0.00045637632872251127,-2.270555581523593,8.850000000000001,3255.265085399992,0.00536427886888186,0.23028205979034366
0.19755725083858316,0.1975577290166967,3.508375528661178,-2.3363811466543107,-0.6622644784673973,202,0.0,0.19755725083858316,6.807620118133149,2.1889447937129094,0.000479261803552206,-2.3363695349688363,8.9,3223.855211134565,0.004609128894354917,0.21763839852935457
0.15508483336140202,0.1550852026064087,3.4965384083356184,-2.542554708253247,-0.7416770186157453,202,0.0,0.15508483336140202,6.762585925320314,2.317232867644254,0.0004314135447977417,-2.542576728522758,8.950000000000001,3137.172564603893,0.002867116181035653,0.1812687673004738
0.1412035990306459,0.14120393585926724,3.4889840884852212,-2.6438404960524524,-0.777211272814554,202,0.0,0.1412035990306459,6.739532272816541,2.3778239083360404,0.0004276270984316555,-2.6438595282679977,9.0,3083.074991660186,0.0022706986614606257,0.16702778704931592
0.13121116829062462,0.13121148311021252,3.482012289819097,-2.7308600693586236,-0.8067774621353907,202,0.0,0.13121116829062462,6.719468283372265,2.429207199051346,0.00042983367912404055,-2.730871132683223,9.05,3033.977039536527,0.0018584031402344664,0.15603518415986087
0.12121873755060333,0.12121903036115776,3.4750404911529724,-2.8178796426647956,-0.8363436514562275,202,0.0,0.12121873755060333,6.699404293927989,2.4805904897666515,0.0004320402598164256,-2.8178827370984494,9.100000000000001,2985.6609720278257,0.0015209689820364592,0.14576603765104726
0.11122630681058206,0.111226577612103,3.4680686924868476,-2.904899215970967,-0.8659098407770642,202,0.0,0.11122630681058206,6.679340304483712,2.5319737804819566,0.00043424684050881067,-2.904894341513675,9.150000000000002,2938.114337625926,0.001244803452078306,0.13617273467449392
