NGTS_ID     Gaia_ID             RA             Dec     NGTS_mag G_mag BP_mag RP_mag Ks_mag   GmK   SpT  mult amp_data amp_GP   P_GP     P_GPue    P_GPle     P_LS     P_GACF  method  P_adopt 
  11209  2320817159289455104  00:04:03.987  -29:58:26.320  12.52  12.87  13.36  12.25  10.92   1.94  K2    --   26.72   30.56   6.32708   0.03012   0.02520   6.68009   6.59580  GP     6.32708 
  11417  2320704768584775552  00:07:37.659  -29:59:46.676  14.23  14.75  15.62  13.82  11.76   2.99  M0    c    26.36   24.21   0.34284   0.00009   0.00009   0.34297   0.34289  GP     0.34284 
  11679  2320713049281688704  00:06:04.272  -30:02:11.786  14.78  15.32  16.30  14.34  12.21   3.11  M0.5  --   32.88   32.03   3.00403   0.00382   0.00352   3.00571   3.00730  GP     3.00403 
  11843  2320807641641939712  00:05:10.917  -30:03:41.092  15.88  16.44  17.80  15.30  12.88   3.55  M3    --   65.77   48.52   2.05906   0.00180   0.00183   2.05841   2.03170  GP     2.05906 
  11872  2320816231576490496  00:03:50.138  -30:03:55.513  10.64  10.94  11.21  10.54   9.84   1.09  F6    r     7.33    6.39   4.61618   0.06893   0.05559   0.98969   4.55110  GP     4.61618 
  11963  2320838943363481984  00:01:39.828  -30:04:38.261  13.90  14.30  15.04  13.47  11.62   2.68  K6    --   67.40   64.84   2.16578   0.00231   0.00253   2.17087   2.15350  GP     2.16578 
  11974  2320842551136015872  00:02:28.165  -30:04:43.240  12.26  12.71  13.28  12.01  10.51   2.20  K3.5  c    51.79   47.56   5.45766   0.01530   0.01413   5.45976   5.46130  GP     5.45766 
  11982  2320795031617857152  00:02:56.359  -30:04:44.629  11.69  12.15  12.64  11.51  10.16   1.99  K2.5  cr   23.65   22.30   3.22208   0.01004   0.00964   3.24303   3.23540  GP     3.22208 
  11998  2320803724631758336  00:04:27.358  -30:04:57.526  15.60  16.18  17.67  14.97  12.53   3.64  M3.5  c    37.93   19.09   0.28325   0.00012   0.00012   0.28323   7.54330  GP     0.28325 
  12025  2320701019077983744  00:07:31.410  -30:04:49.436  15.00  15.60  16.70  14.55  12.35   3.25  M1    --   33.38   23.85   3.01714   0.00708   0.00775   3.02864   3.00730  GP     3.01714 
  12097  2326866942847101824  23:57:52.345  -30:05:17.726  11.40  11.98  12.36  11.45  10.40   1.58  G7    c    39.14   35.13   2.76998   0.01776   0.01701   2.71546   2.76380  GP     2.76998 
  12168  2320841520343862400  00:01:53.402  -30:06:12.657  14.48  15.09  16.04  14.13  12.05   3.04  M0    --   16.15    9.86   1.97249   0.00227   0.00227   1.97210   1.96840  GP     1.97249 
  12169  2320709647667590784  00:06:16.324  -30:05:56.994  11.24  11.58  11.91  11.11  10.25   1.33  G1    --   18.14   19.20   5.05339   0.02376   0.02186   5.03930   5.05680  GP     5.05339 
  12180  2320700095660360704  00:07:40.901  -30:05:57.277  15.07  15.65  16.76  14.60  12.37   3.27  M1.5  --   40.14   33.17   0.42566   0.00005   0.00006   0.42576   0.42560  GP     0.42566 
  12231  2320615983021130752  00:05:54.696  -30:06:25.664  11.61  11.98  12.36  11.46  10.48   1.51  G5    --   21.04   20.48   4.80126   0.01838   0.01900   4.79809   4.80750  GP     4.80126 
  12254  2320794413142569344  00:02:54.158  -30:06:55.822  15.58  16.15  17.48  15.00  12.65   3.50  M3    c    36.85   16.46   0.56292   0.00035   0.00031   0.56332   1.29201  GP     0.56292 
  12255  2320805580057632768  00:04:56.043  -30:06:52.872  15.25  15.83  16.99  14.76  12.48   3.35  M2    --   32.11   22.22   4.79825   0.01893   0.01777   4.81802   4.84160  GP     4.79825 
  12456  2320793897745374208  00:02:21.615  -30:08:21.428  10.33  10.62  10.87  10.23   9.60   1.01  F5    --    5.82    5.80   0.95574   0.00623   0.00612   0.94820  10.58400  GP     0.95574 
  12489  2320617116892496256  00:05:28.987  -30:08:31.902  12.78  13.21  13.75  12.54  11.11   2.10  K3    --   19.24   17.22   7.33008   0.04208   0.03393   7.34830   7.62760  GP     7.33008 
  12524  2320696762765711360  00:06:34.030  -30:08:46.041  15.64  16.20  17.48  15.09  12.75   3.45  M2.5  --   40.43   20.00   2.33692   0.00303   0.00299   2.33581   2.31410  GP     2.33692 
  12559  2320793691588062464  00:02:24.244  -30:09:08.687  14.77  15.33  16.33  14.32  12.23   3.10  M0.5  --   27.25   21.35   5.88189   0.01749   0.01671   5.88270   5.88510  GP     5.88189 
