dr2_source_id,dr3_source_id,n_sectors,period,uncertainty,pdm_period,lsp_period,pdm_power,lsp_power,teff_curtis20,p2p_rms,a_90_10,snr,ra,dec,pmra,pmdec,parallax,radial_velocity,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag,phot_bp_mean_mag_0,phot_rp_mean_mag_0,phot_g_mean_mag_0,X,Y,Z,U,V,W,v_l,v_b,in_meingast,in_kerr,in_kc,in_cg,in_jaehnig,in_lodieu,in_moranta,in_heyl,manual_check,flag_quality_period,flag_benchmark_period,in_gyro_sample,flag_nbhr_count
135823740828117120,135823740828117120,1,,,0.104,13.619,0.669,0.307,6241.0,917.06,4667.15,72.05,47.418,32.482,24.01,-26.184,5.659,13.93,8.72,7.981,8.436,2.303,1.64,2.054,-146.78,71.57,-65.3,-32.86,-33.56,-19.25,28.678,-7.422,False,False,False,False,False,False,False,True,,False,False,False,True
1979308057445530624,1979308057445530624,1,,,0.104,13.619,0.53,0.488,3231.0,14276.89,61818.8,59.16,325.614,50.815,20.644,3.082,7.016,,18.0,15.073,16.324,12.185,9.284,10.53,-13.04,141.34,-3.99,,,,11.872,-7.515,False,False,True,False,False,False,False,False,,False,True,False,False
248210493662593920,248210493662593920,1,,,0.104,13.258,0.897,0.098,3312.0,44465.13,88106.15,28.04,53.995,47.305,18.729,-32.085,5.393,,19.354,16.482,17.703,12.76,10.017,11.211,-158.11,92.64,-21.63,,,,29.785,-13.008,False,False,False,False,False,True,False,False,,False,False,False,False
240467251741424896,240467251741424896,1,,,0.251,6.157,0.955,0.026,3098.0,39994.84,80983.99,17.32,47.696,42.763,21.249,-22.315,4.885,,19.644,16.344,17.649,12.899,9.712,10.997,-169.07,103.8,-45.73,,,,28.738,-7.666,False,False,False,False,False,False,False,True,,False,True,False,False
442061540465390464,442061540465390464,1,0.495,1.26e-05,0.495,0.496,0.462,0.482,3274.0,16674.8,54331.87,22.2,54.364,50.665,22.516,-25.95,5.882,,18.154,15.162,16.423,11.701,8.867,10.098,-142.94,89.89,-11.45,,,,26.882,-6.112,False,True,True,True,True,True,False,True,g,True,True,True,False
441259098836294016,441259098836294016,1,,,0.104,3.698,0.877,0.068,3282.0,215996.01,429439.96,27.87,45.819,53.574,22.944,-12.109,5.368,,21.083,17.91,19.243,14.314,11.373,12.663,-145.34,114.21,-13.81,,,,22.793,0.489,False,False,False,False,False,True,False,False,,False,False,False,False
441368538901040640,441368538901040640,1,,,0.104,14.0,0.799,0.154,3607.0,250096.56,1219106.09,64.75,51.67,48.588,5.862,-8.853,2.801,,21.187,19.35,20.721,12.947,11.301,12.609,-296.74,188.24,-40.54,,,,16.473,-6.763,False,False,False,False,False,True,False,False,,False,False,False,False
248814812740796416,248814812740796416,1,,,0.104,6.475,0.869,0.13,3728.0,5327.68,12127.63,4.06,56.369,49.452,27.806,-24.481,5.762,-0.17,15.931,13.782,14.854,9.505,7.452,8.496,-148.61,87.2,-12.25,-26.19,-38.51,-8.99,30.286,-1.829,False,False,False,True,False,False,False,True,,False,False,False,True
231879962849972480,231879962849972480,1,,,0.104,5.17,0.548,0.63,3495.0,87188.9,577024.35,99.45,59.488,44.237,16.164,-28.2,5.442,,21.425,19.463,20.779,14.941,13.047,14.341,-164.01,77.96,-21.49,,,,26.562,-9.413,False,False,False,False,False,True,False,False,,False,False,False,False
244038328067447296,244038328067447296,1,,,0.565,6.648,0.959,0.044,3619.0,733389.14,1417210.37,3.63,59.464,45.713,18.179,-30.259,2.266,,21.241,19.303,20.757,12.512,10.781,12.17,-388.84,193.04,-42.86,,,,69.245,-23.119,False,False,False,False,False,True,False,False,,False,False,False,False
