Unnamed: 0,dr2_source_id,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G
302,423536590609129344,1.9023781,423536590609129344,0.07891264,-0.011634827,14.817326414684848,55.82600106284786,5.484725839576299,0.019858632,276.1885,28.392537600371785,-10.931026349649791,1.5613344,1090.8467,13.171708,255.93283,103861.71767563286,446.92175,1.3313226,1,3,1,2,1.8962412,0.9312897,0.9649515,-12.36935,28.538197,1,39.938927,10.966414,15.954774,124.03983899567844,-7.028901211972041,40.32267380069473,44.58163725840607,1,5800.0156,5794.7803,5805.3516,2.7514,2.111,1.1613,3973.6777,0,False,0.011634827,False,6.867482725677764
303,441737455113305088,1.5847206,441737455113305088,0.050525874,-0.009429932,50.342592627998016,49.950824297708046,5.647921031760178,0.015001347,376.49426,23.33006822581665,-24.541849830141153,1.0422618,618.257,13.409896,165.17302,74530.22622427701,247.21118,1.2848575,0,0,0,0,1.5734444,0.73061275,0.8428316,1.8636405,4.767772,2,15.143013,nan,nan,146.11970321619964,-6.048537314101772,61.58485890256861,30.349821816489683,0,4574.5303,4566.5737,4583.882,0.8448,0.6404,0.3449,4336.2305,0,False,0.009429932,False,7.1693389761967925
319,461001178011704960,1.4183655,461001178011704960,0.18898761,-0.003891945,42.669433258579225,58.188969854084284,10.126220946661498,0.014615561,692.8383,41.14152308664702,-41.05125442982538,1.060371,670.04956,11.721405,176.95567,330190.8583204298,275.6391,1.2613319,0,0,0,0,1.401576,0.63115406,0.770422,2.7018785,4.261454,1,50.287125,nan,nan,138.12628287361147,-1.1209645291078787,59.795698214029464,39.60986707060903,0,4581.794,4569.1265,4610.3657,0.4432,0.3399,0.1817,4585.3125,0,False,0.003891945,False,6.748642024991945
325,441515083189174784,1.3244934,441515083189174784,0.12579776,-0.018375397,52.361402879510116,49.34304748124358,5.743126876895775,0.01604225,358.0001,22.65096033028107,-24.992798497766124,1.0335737,917.5437,12.816582,268.29092,115922.58076890565,384.85565,1.2489427,0,0,0,1,1.3091002,0.5799942,0.72910595,-1.0574306,6.586537,1,33.26988,21.59526,18.197601,147.55149039881996,-5.825321258461423,62.828287673943585,29.39306563458224,0,5086.9546,5076.903,5105.9434,0.7139,0.5634,0.3022,4757.448,0,False,0.018375397,False,6.612323780078917
326,1994970944172531456,1.5205956,1994970944172531456,0.04541057,-0.018548965,358.89241275333274,56.36063511763565,5.179748628942228,0.012309661,420.78726,23.407376045458147,-3.78676707034266,1.041116,895.3191,13.431562,255.84998,71207.58095597492,350.16263,1.2747961,0,0,0,0,1.5078049,0.69282246,0.8149824,-32.74139,6.6142254,2,15.535887,nan,nan,115.21003862537609,-5.671201866049604,30.121659020406366,50.18363775838121,0,4617.3516,4610.325,4624.2974,0.7681,0.5865,0.3164,4425.166,1,True,0.018548965,False,7.003105844331619
328,199750373362154240,1.3060617,199750373362154240,0.24089962,0.029118538,72.08573687444559,39.43234791347743,6.994117230708237,0.012037544,581.02527,17.789885981246183,-37.28280078128488,0.88396364,475.11496,12.378712,137.6224,172889.56724119865,183.79514,1.2488415,0,0,0,0,1.2980309,0.572793,0.72523785,4.3745975,3.1881223,1,29.844458,nan,nan,164.60680902943244,-3.559458287666905,75.62436081157819,16.88288263828074,0,4978.475,4973.386,4983.523,0.5861,0.4604,0.2455,4794.5225,0,False,0.029118538,False,6.602376237376653
329,359014327706244736,1.3036118,359014327706244736,0.18095814,-0.023692131,31.86496606649255,51.77831785082514,6.048463805833765,0.013052437,463.39728,28.19141451677652,-19.130008845332895,1.1410289,769.5065,12.276501,211.94205,188804.48094313074,287.81207,1.247097,0,0,0,0,1.2832584,0.5646229,0.71863556,-6.1010427,9.5582695,1,37.884113,nan,nan,134.7144378165293,-9.34579980450906,49.358784433078675,36.21879150333301,0,4933.6455,4924.637,4943.001,0.524,0.4124,0.2212,4799.552,0,False,0.023692131,False,6.184726132715912
332,357411652069037952,2.3790474,357411652069037952,0.18904874,-0.017577171,26.873291229883442,48.74127010823355,7.1284630262493955,0.022828294,312.26437,33.507598619298776,-21.07340138558076,1.0171243,1022.85486,14.540665,158.83691,33981.403401981916,380.85123,1.4092697,0,24,0,1,2.3799553,1.2590828,1.1208725,-8.516033,12.337009,2,11.476074,nan,nan,132.36871311128516,-13.100681425977234,44.22368639733289,34.82938080415637,0,3552.987,3548.3887,3563.5686,0.687,0.4594,0.2795,3569.5078,0,False,0.017577171,False,8.805644179632928
335,248995510605625216,0.86783886,248995510605625216,0.25909585,0.018090248,53.680821453017344,47.88670651402106,5.677636979126843,0.017395005,326.39468,21.73883146380059,-26.069784474239533,1.0357258,659.1707,10.749389,221.37936,640389.8868133721,277.44983,1.2046479,0,6,0,0,0.86505413,0.3474493,0.5176048,5.354535,3.4255116,1,52.41755,nan,nan,149.11352192289326,-6.510782919329617,63.33205746642449,27.754194728405032,0,5738.276,5714.6167,5758.28,0.1987,0.1665,0.09,5989.191,0,False,0.018090248,False,4.5202267989722
336,249672122574436096,1.0625038,249672122574436096,0.2853811,-0.020897865,54.09196523534595,49.1556625728597,5.74188874664918,0.020499418,280.1001,22.52951195428564,-26.989513026040246,1.1273593,619.3143,11.445445,174.36038,367901.459532734,232.02016,1.226121,0,0,0,0,1.0451698,0.43329144,0.6118784,-5.8590474,7.268054,1,54.368073,114.68036,36.50029,148.5857924851651,-5.323827311013929,64.01422818541982,28.904782435413207,0,5247.9307,5207.491,5321.2354,0.2382,0.1938,0.1045,5396.9453,0,False,0.020897865,False,5.240718928052411
337,243816329802428544,1.2849436,243816329802428544,0.0711982,-0.015239716,58.42268142876348,44.26016261725845,4.27149906085948,0.014164002,301.5743,15.97141844436778,-20.691361163283112,1.0644987,967.1555,13.112518,307.86285,86924.26994117533,365.72052,1.2448343,0,0,0,1,1.2711859,0.5587101,0.7124758,8.541927,8.144037,2,16.837114,nan,nan,153.97015071099187,-7.354715393847542,65.87513815524605,23.43000430134365,0,5235.086,5227.401,5241.8125,0.7461,0.5931,0.3177,4838.4365,0,False,0.015239716,False,6.265419886617465
339,441103002545406464,1.3596611,441103002545406464,0.24306923,-0.006770134,44.02063273335353,52.619157481140306,5.600413625531101,0.013058708,428.8643,24.20626033906984,-22.224055014951702,0.9440641,923.3235,12.731641,263.95154,127256.46649542174,344.86682,1.2519361,0,2,0,2,1.3499737,0.6045284,0.74544525,-2.0965889,4.1466765,1,27.85079,12.646698,25.610981,141.3368583057582,-5.740785027310425,58.16530345982076,34.140817516398485,0,5146.018,5141.4155,5150.645,0.8463,0.6662,0.3561,4689.798,0,False,0.006770134,False,6.472741333490843
340,249364465476847744,1.4123602,249364465476847744,0.060371745,0.006597519,53.62243306910649,49.361972227328316,5.661752850333681,0.012913564,438.43457,22.15781653123427,-25.84358269129304,0.91543835,872.7908,13.057942,247.47969,96194.48789823691,348.4079,1.2576674,0,3,0,0,1.4036283,0.63570595,0.7679224,0.104983136,5.2781677,1,23.641365,nan,nan,148.2149895989581,-5.336404067486396,63.73989610855827,29.185758892680713,0,4690.054,4681.4087,4701.386,0.5538,0.4261,0.2269,4595.549,0,False,0.006597519,False,6.822696927456807
346,178358107630430336,1.0275259,178358107630430336,0.17560501,0.0017719269,67.82880676810096,37.864451286932045,6.716406890755127,0.02303674,291.55197,19.991772429092862,-34.3313531207541,1.255707,649.32904,11.138529,193.45045,480844.8910340618,224.48293,1.2199928,0,0,0,0,1.018178,0.42253208,0.5956459,-0.31648052,3.905544,1,38.337093,nan,nan,163.58148132532924,-7.090121928261117,71.96321768597073,15.803239772692855,0,5186.4077,5144.8574,5217.7217,0.1632,0.1328,0.0718,5499.526,0,False,0.0017719269,False,5.2742138164661565
348,245793664026998528,1.1349993,245793664026998528,0.21724749,-0.0007314682,60.0883207653685,46.69577708609331,5.698098050487603,0.024760745,230.12628,19.757821028101517,-27.35058841570219,1.2840953,1039.6606,11.565761,332.50403,340324.70035133447,457.66214,1.232774,0,0,0,0,1.1220083,0.4744091,0.6475992,3.5744712,3.8854468,1,52.154846,87.7489,35.929794,153.27717213513824,-4.74309542545097,67.72394026201846,25.543072015466162,0,5704.536,5696.7373,5711.7686,0.7353,0.6014,0.3246,5195.9023,0,False,0.0007314682,False,5.344410203115418
351,243137072134354048,0.6555786,243137072134354048,0.16423959,0.0057058334,51.229813542825156,47.41490633349871,5.773119523169064,0.016970523,340.18512,23.118739656944385,-25.23929700627609,1.0068256,6415.4307,9.620044,3795.1187,1632800.3665266866,4084.9868,1.1914389,0,0,0,0,0.6461668,0.24168587,0.40448093,-16.115824,3.1992626,1,114.54523,144.99866,12.138974,148.0200280260647,-7.841746762943303,61.3917090465816,27.752664811091186,0,6453.565,6433.123,6481.152,0.1312,0.1141,0.0617,nan,0,False,0.0057058334,False,3.427096499385396
360,229651454640688128,1.4243565,229651454640688128,0.114879034,-0.0116586685,65.86602654898923,44.397833458976315,5.638339396713941,0.01612115,349.74796,14.656162603330118,-26.648508020938422,0.9452416,4470.091,13.016301,1000.7439,99787.11247054928,1217.522,1.2534276,0,0,0,0,1.4093571,0.6432657,0.76609135,5.0209417,7.0510073,1,20.17809,nan,nan,157.80996714844122,-3.647090205807219,71.56750576859487,22.490785793042413,0,4623.477,4615.5093,4629.23,0.3541,0.2702,0.1415,4575.1904,0,False,0.0116586685,False,6.772057227280204
