EPIC,RAJ2000,DEJ2000,Vmag,Ksmag,__V-K_0,Prot,Per2,Per3,Per4,Amp,LC,Mm,LPer,H10,vsini,PapIII,PapII,Fig,recno,Teff_Mamajek,dr2_source_id,epic_number,tm_name,k2_gaia_ang_dist,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_rv_outlier,flag_fdwarf_outlier,flag_possible_binary,flag_benchmark_period
211007016,56.58914,23.08588,0.0,13.7,5.81,0.3742,nan,0.0,0.0,0.026,1,best,0.0,0,0.0,1,1,Fig,298,803.3086944101478,64952068862923520,211007016,2MASS J03462138+2305093,0.08153217932765829,3.4310913,64952068862923520,0.24736913,-0.008211136,56.58921758662981,23.08569959940112,7.082300122602656,0.17132999,41.33719,18.171048121636094,-45.3603468650091,0.87581253,511.7499,17.905458,12.372934,1823.2400263629206,119.0093,1.5138751,0,1,0,1,3.3816452,2.071972,1.3096733,nan,nan,-1,nan,nan,nan,167.21214111106354,-24.38194168897299,59.516471885968386,3.1126726930444177,0,3112.8887,3106.6404,3119.3208,0.9784,0.5877,0.4173,nan,0,False,0.008211136,False,12.156330083628411,False,False,False,False,False,False,True
211112171,56.61927,24.75899,14.34,10.65,3.58,9.1276,nan,0.0,0.0,0.034,3,best,9.41,1,7.0,1,1,Fig,313,3920.3354617061877,66808220587051264,211112171,2MASS J03462862+2445323,0.05489507886927128,1.8498583,66808220587759104,0.037000716,-0.013662338,56.619370547231206,24.758790465145772,7.300009059416653,0.030375024,240.32933,20.486566587041196,-46.516538720071175,1.0965658,1086.9816,13.698108,279.6565,62506.566277884944,468.84186,1.3148725,0,1,0,1,1.8476305,0.9076042,0.9400263,3.4574795,5.1842694,2,9.432828,nan,nan,166.0053513988383,-23.124950745013333,59.91148840204817,4.738925011322009,0,nan,nan,nan,nan,nan,nan,3960.1475,0,False,0.013662338,False,8.014724714853955,False,False,False,False,False,False,True
211111496,56.65739,24.74769,11.83,9.63,2.09,7.1797,nan,0.0,0.0,0.014,4,best,0.87,1,3.6,1,1,Fig,324,5132.116814095306,66808869124393600,211111496,2MASS J03463777+2444517,0.030265575390216994,1.1175804,66808869124393600,0.1449297,-0.0011768341,56.65748307121974,24.747477728499646,7.632741644567266,0.015386245,496.07565,20.422639395318274,-47.62659983841286,0.80998343,1377.9381,11.587448,568.4515,328690.8685517438,662.18646,1.223162,0,0,0,0,1.1021786,0.4706564,0.6315222,4.8971567,0.806183,1,31.934025,8.746844,7.4490385,166.04153996080765,-23.110180952402576,59.94287896149362,4.720291324365262,0,5013.249,4982.1333,5025.3647,0.0987,0.0789,0.0417,5071.2236,0,False,0.0011768341,False,6.000850932590014,False,False,False,False,False,False,True
211123901,56.66158,24.95962,10.25,8.79,1.35,2.3141,nan,0.0,0.0,0.016,3,best,2.32,1,0.0,1,1,Fig,326,6071.535591989351,66838452861270272,211123901,2MASS J03463878+2457346,0.016124925224382185,0.8084307,66838452861270272,0.033915855,0.006252289,56.661659316992534,24.959436887087797,7.4069576100515615,0.019041356,388.9932,20.610307326877866,-46.954463131057246,0.9594057,1436.1488,10.10806,476.799,1122714.35966587,689.6016,1.2003425,0,1,0,0,0.8023014,0.31646347,0.48583794,5.1193595,0.7302814,1,82.01665,nan,nan,165.89043774316295,-22.950169697232347,59.99325839868622,4.926254680330435,0,5849.085,5838.5786,5863.82,0.1044,0.0882,0.0476,5969.215,0,False,0.006252289,False,4.456259179095122,False,False,False,False,False,False,True
210996142,56.69608,22.91459,10.48,8.93,1.44,3.0025,nan,0.0,0.0,0.03,3,best,3.0,1,16.4,1,1,Fig,337,5932.366475720077,64899017426872960,210996142,2MASS J03464706+2254525,0.06607388005914422,0.8397875,64899017426872960,0.10764154,-0.00032806396,56.696182198354265,22.91437971648443,7.188082380653626,0.01971732,364.55676,18.758200870264197,-45.00169638409588,1.0573627,1501.8119,10.343078,399.03583,914961.5651954961,607.88855,1.2015276,0,0,0,0,0.8285723,0.32988262,0.49868965,5.726292,0.6101194,1,78.64812,17.309702,3.2689369,167.41902751271786,-24.44155845908672,59.57510059401723,2.9239471014244027,0,6061.983,6043.4385,6068.296,0.287,0.2426,0.1302,5872.9023,0,False,0.00032806396,False,4.62614288858785,False,False,False,False,False,False,True
210994089,56.72192,22.88094,11.74,9.72,1.91,6.1515,nan,0.0,0.0,0.033,3,best,6.16,1,5.5,1,1,Fig,343,5322.024878585571,64804841680675200,210994089,2MASS J03465326+2252513,0.055707386897300384,1.0697002,64804841680675200,0.09983827,0.0023097992,56.72201785398287,22.880748393557024,6.817244229838197,0.019931689,342.03046,18.982563936845033,-41.60050050840914,1.0778025,966.553,11.554062,340.76105,331812.2423276709,465.2618,1.2174058,0,0,0,0,1.0559464,0.44754887,0.6083975,6.467236,0.47854188,1,44.572075,7.2516737,7.899967,167.4632827502978,-24.450183212939493,59.59099280472991,2.885926247480708,0,5346.708,5340.7383,5352.488,0.3002,0.2434,0.1292,5194.0796,0,False,0.0023097992,False,5.722106154690646,False,False,False,False,False,False,True
211038389,56.72391,23.58359,10.55,9.01,1.43,3.5941,nan,0.0,0.0,0.018,3,best,0.0,0,5.3,1,1,Fig,345,5947.455691992418,65004712279475712,211038389,2MASS J03465373+2335009,0.043528342457886116,0.8226509,65004712279475712,0.14882062,0.0050764084,56.72404434206554,23.58335393181007,7.497436461447746,0.015502698,483.6214,20.79610781492648,-45.153767216869234,0.99693227,1793.9615,10.388345,644.37445,871956.7737381787,903.1427,1.2004443,0,0,0,0,0.8150959,0.32340908,0.49168682,5.720363,0.29002896,1,78.885544,nan,nan,166.944033860248,-23.931227890756134,59.74664970607299,3.5711313840799837,0,5723.159,5712.681,5740.62,0.0359,0.0301,0.0161,5925.7227,0,False,0.0050764084,False,4.762908734360089,False,False,False,False,False,False,True
211032994,56.7559,23.49498,11.45,9.56,1.78,5.9306,nan,0.0,0.0,0.038,3,best,5.97,1,6.4,1,1,Fig,361,5472.734893387393,64979732749686016,211032994,2MASS J03470141+2329419,0.17966140245792475,1.0223904,64979732749686016,0.123386405,0.004709244,56.75601002050891,23.494741451278703,7.386528543828836,0.01865727,395.90616,19.0718927796905,-45.023437835823266,0.9098149,1660.6732,11.273634,504.73755,419407.20856360043,741.93604,1.2108651,0,2,0,0,1.0054016,0.42307377,0.58232784,4.5173807,0.6626313,1,48.883865,12.027428,6.076112,167.0331474016591,-23.97682172796679,59.755896370724756,3.47825608585973,0,5225.0713,5199.344,5244.6416,0.0802,0.0651,0.0346,5323.2754,0,False,0.004709244,False,5.615835858980596,False,False,False,False,False,False,True
211081656,56.79189,24.27667,9.46,8.28,1.07,0.775,nan,0.0,0.0,0.004,1,best,0.0,0,85.0,1,1,Fig,375,6552.2048375173445,66729261908482048,211081656,2MASS J03471005+2416360,0.010803295655936669,0.6514597,66729261908482048,0.111288235,0.008270264,56.791988143840086,24.276453622807093,7.357064223916837,0.02060636,357.0288,19.959460137901697,-44.498036812412536,1.0107602,4604.8647,9.376594,2200.74,2041610.59878773,2213.4492,1.1910828,0,0,0,0,0.6450882,0.24145794,0.40363026,nan,nan,-1,nan,nan,nan,166.48435688327746,-23.377190283956377,59.95922917949444,4.233901141732033,0,6233.601,6228.162,6247.5654,0.0046,0.004,0.0022,6386.1055,0,False,0.008270264,False,3.7101163260716987,False,False,False,False,False,False,True
211046446,56.80637,23.71431,12.53,10.1,2.32,7.8496,nan,0.0,0.0,0.042,3,best,8.18,1,5.3,1,1,Fig,377,4914.34363474,65010549138050944,211046446,2MASS J03471352+2342515,0.040758390615555494,1.2762156,65010549138050944,0.053429257,0.002380371,56.80648230098543,23.714085620776036,7.417636325472424,0.013752326,539.3732,19.730513631399994,-45.608867809732224,0.9788415,891.3558,12.215946,272.6311,197378.700041898,340.2128,1.2415788,0,0,0,0,1.2616501,0.5553484,0.7063017,5.9296613,0.54778653,1,26.702385,7.262236,10.2718115,166.90850064555994,-23.78379239415998,59.84910405121618,3.6822097061490773,0,4756.2476,4731.4263,4776.33,0.2164,0.1687,0.089,4722.8955,0,False,0.002380371,False,6.567273881356325,False,False,False,False,False,False,True
