TIC,GAIAEDR3_ID,GAIAEDR3_RA,GAIAEDR3_DEC,GAIAEDR3_RUWE,GAIAEDR3_G,GAIAEDR3_G_ERR,GAIAEDR3_G_CORRECTED,GAIAEDR3_BP,GAIAEDR3_BP_ERR,GAIAEDR3_RP,GAIAEDR3_RP_ERR,TMASS_ID,TMASS_J,TMASS_J_ERR,TMASS_H,TMASS_H_ERR,TMASS_K,TMASS_K_ERR,HDBscan_MemProb,HDBscan_Cluster,HDBscan_Stability,MemBool,angDist_GES,GES_Target,GES_Cluster,GES_MemProb,angDist_Cantat-Gaudin,CG_MemProb,CG_Cluster,av,av_err,dist,dist_err,log(Age),log(Age)_err,Mass,Mass_err,log(Teff),log(Teff)_err,Prot1,Pw1,Q1,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,LitPeriod,LitSource,Cluster,to_plot
130878921,5538346760399645440,117.211,-39.569,1.091,16.402,0.002,16.402,18.112,0.015,15.128,0.006,3331185980626502144.000,13.267,0.027,12.632,0.031,12.430,0.032,0.316836533227795,0.0,0.4583971675832264,1.0,1e+20,N/A,N/A,1e+20,0.001504,1.0,NGC_2451A,0.23563259109527498,0.07622515186289604,184.0681106930429,1.3766092627557798,8.061603897641128,0.5219932378491532,0.397748761191532,0.07617391906712297,3.5519785435104234,0.0042304539594864845,0.62,0.409,0.0,0.028,-9999.00,-9999.000,4.0,n,n,y,,,NGC_2451A,1
130952951,5537568409248499840,117.311,-40.041,1.038,14.805,0.000,14.805,15.614,0.001,13.922,0.001,3295174775793570304.000,12.842,0.030,12.178,0.027,12.015,0.029,0.26216233122697563,0.0,0.4583971675832264,1.0,1e+20,N/A,N/A,1e+20,1e+20,1e+20,N/A,0.02841875311360352,0.038833348361984384,261.1785190383647,1.2204826457002627,7.935377807703761,0.2177929211461853,0.5867148834271005,0.012185296229862409,3.628537949379615,0.003293168995997061,,,9.0,,,,,,,y,,,NGC_2451A,1
130956799,5538555701971794816,117.376,-38.420,1.082,15.712,0.001,15.712,17.350,0.011,14.469,0.002,3367162001087449600.000,12.677,0.028,12.060,0.026,11.823,0.026,0.8576591828393674,0.0,0.4583971675832264,1.0,1e+20,N/A,N/A,1e+20,0.004329,1.0,NGC_2451A,0.2140761896065349,0.08174084145775475,191.3862682710788,1.167188701124628,7.824828898179064,0.5787430684532213,0.4914668850286912,0.07858729062512244,3.5632858237080924,0.008950036404362776,0.47,0.236,1.0,0.033,0.40,0.223,1.0,m,m,y,,,NGC_2451A,1
130957033,5538567418642515456,117.263,-38.331,0.961,15.634,0.001,15.634,16.993,0.007,14.488,0.003,3385176399596956160.000,12.906,0.024,12.290,0.021,12.037,0.023,0.9194381680865583,0.0,0.4583971675832264,1.0,1e+20,N/A,N/A,1e+20,0.003303,1.0,NGC_2451A,0.08147045531058242,0.07144011667871655,194.9333881957641,1.058512438386487,8.439093244079725,0.33194489476854155,0.4816018460363791,0.013959099256278603,3.5716711999422435,0.003845297489790769,1.40,0.497,0.0,0.028,-9999.00,-9999.000,4.0,n,n,y,,,NGC_2451A,1
130957100,5538569102271194880,117.267,-38.308,10.973,16.372,0.002,16.346,17.781,0.008,14.783,0.002,3385176399596956160.000,12.949,0.024,12.344,0.022,12.110,0.027,0.5499598351919707,0.0,0.4583971675832264,1.0,1e+20,N/A,N/A,1e+20,1e+20,1e+20,N/A,0.22912797016422187,0.07910061416499276,191.2065506696283,13.056355683926833,8.014725691935087,0.5760894475450079,0.4406136329691135,0.10006152358344779,3.5511714596529256,0.006327349806492748,,,9.0,,,,,,,y,,,NGC_2451A,1
130957261,5538569548946751104,117.368,-38.251,1.034,17.937,0.002,17.937,19.893,0.054,16.606,0.006,3385176399596966400.000,14.635,0.046,14.089,0.167,13.784,0.095,0.560633282108532,0.0,0.4583971675832264,1.0,1e+20,N/A,N/A,1e+20,0.007553,0.8,NGC_2451A,0.25955075304012243,0.06038606406553152,199.77048987566462,3.8626697848798655,8.266436055060574,0.44800056984920905,0.2141754582177704,0.03820765937193652,3.5448181460706736,0.0028791543112369686,,,9.0,,,,,,,y,,,NGC_2451A,1
130957390,5538573019280298624,117.262,-38.206,1.016,16.690,0.001,16.690,18.385,0.012,15.420,0.006,3385176399596965888.000,13.583,0.042,12.978,0.035,12.756,0.039,0.6472304786656059,0.0,0.4583971675832264,1.0,0.213528,07490291-3812229,NGC2451a,0.9886,0.003175,1.0,NGC_2451A,0.20463156810755673,0.07904231616999857,197.49998130594423,1.8111942711111322,8.333992029865444,0.47897443726542244,0.37849688526045044,0.0576752850486744,3.5519561840674907,0.0030158710899043932,-9999.00,-9999.000,2.0,0.030,-9999.00,-9999.000,4.0,n,n,y,,,NGC_2451A,1
131030696,5539260351485536768,117.417,-36.821,1.058,15.818,0.001,15.818,17.250,0.007,14.643,0.002,3439149226381302272.000,13.009,0.049,12.393,0.061,11.894,nan,0.5449459728095465,0.0,0.4583971675832264,1.0,1e+20,N/A,N/A,1e+20,0.001841,1.0,NGC_2451A,0.08778567333722695,0.07573177252332802,188.94690526538687,1.0511526147299581,8.366330367630768,0.3636729523340393,0.4567458993018336,0.019419389283219922,3.56402065516033,0.0037223836319594406,-9999.00,-9999.000,2.0,0.029,-9999.00,-9999.000,4.0,n,n,y,,,NGC_2451A,1
131032637,5539172665430567296,117.430,-37.492,0.959,17.079,0.001,17.079,18.777,0.014,15.824,0.003,3421152420057779200.000,13.975,0.026,13.411,0.038,13.148,0.038,0.44400896542704305,0.0,0.4583971675832264,1.0,1e+20,N/A,N/A,1e+20,0.003827,1.0,NGC_2451A,0.18256011561635221,0.0815499388500307,187.47643349605187,1.8635379229404019,8.408062172077397,0.42441949459800155,0.29381346940961395,0.041492744894940765,3.549118653692435,0.0023594530558271646,-9999.00,-9999.000,2.0,0.031,-9999.00,-9999.000,4.0,n,n,y,,,NGC_2451A,1
131033386,5539149644405996800,117.443,-37.754,1.073,16.088,0.003,16.087,17.605,0.016,14.881,0.009,3403155613734403584.000,13.188,0.023,12.598,0.021,12.310,0.023,0.453668277211533,0.0,0.4583971675832264,1.0,1e+20,N/A,N/A,1e+20,1e+20,1e+20,N/A,0.09810560472797028,0.08236689632243781,203.70743138096086,1.4706044481459435,8.086453506981815,0.5524069831654949,0.4463307917037942,0.07815404993096199,3.5601856573703525,0.0067110840609830354,0.80,0.821,0.0,0.030,-9999.00,-9999.000,4.0,n,n,y,,,NGC_2451A,1
131108788,5535749576497065472,117.648,-41.281,0.950,15.413,0.001,15.413,16.782,0.007,14.257,0.004,3223169958313864704.000,12.673,0.022,12.037,0.025,11.801,0.021,0.43631541177368494,0.0,0.4583971675832264,1.0,1e+20,N/A,N/A,1e+20,0.001403,1.0,NGC_2451A,0.11711300628532838,0.08097916870699223,187.8484937501137,0.8246616579594386,8.44279192553931,0.34445378038448793,0.5072491434998652,0.014609462202940335,3.5760785820835856,0.004451626946163972,1.26,0.375,0.0,0.028,-9999.00,-9999.000,4.0,n,n,y,,,NGC_2451A,1
131109973,5537278752352581376,117.695,-40.771,1.061,16.166,0.001,16.166,17.735,0.008,14.957,0.003,3241149172451126272.000,13.235,0.024,12.635,0.026,12.442,0.026,1.0,0.0,0.4583971675832264,1.0,1e+20,N/A,N/A,1e+20,0.003993,1.0,NGC_2451A,0.1179068310623719,0.07770354236713149,195.2334168185964,1.2462809765374756,8.389408809051394,0.3796740026833296,0.43252225382055753,0.03313235596522625,3.5578759977473107,0.0031315022430915304,1.97,0.350,0.0,0.030,-9999.00,-9999.000,4.0,n,n,y,,,NGC_2451A,1
131181960,5539186546765976448,117.695,-37.364,1.019,17.463,0.001,17.463,19.370,0.030,16.149,0.004,3403120429362351616.000,14.164,0.030,13.668,0.032,13.253,0.035,0.5666344914563605,0.0,0.4583971675832264,1.0,1e+20,N/A,N/A,1e+20,0.004851,0.9,NGC_2451A,0.2582729399875455,0.0646376579792988,197.26762272926942,3.2464918461210046,8.213940015047077,0.4908133408249648,0.2737287884919577,0.05770158234329005,3.545396314530017,0.0032665123777972887,,,9.0,,,,,,,y,,,NGC_2451A,1
131185502,5539389406660272896,117.608,-36.242,0.858,7.252,0.000,7.251,7.202,0.001,7.314,0.001,3457110848332690944.000,7.352,0.020,7.435,0.033,7.391,0.026,0.418823139117518,0.0,0.4583971675832264,1.0,1e+20,N/A,N/A,1e+20,0.001133,1.0,NGC_2451A,0.12091070517093555,0.06129045710689485,196.41799418269426,1.1346693627044653,7.817548298114705,0.4379935331678642,2.8779911866290675,0.13811112260675554,4.066898580649905,0.02373478253744468,-9999.00,-9999.000,2.0,0.032,-9999.00,-9999.000,4.0,m,n,y,,,NGC_2451A,1
131188831,5539357967499516288,117.837,-36.694,0.956,13.877,0.001,13.877,14.696,0.004,12.981,0.002,3439114042009222144.000,11.785,0.026,11.132,0.028,10.968,0.023,0.39493487472401395,0.0,0.4583971675832264,1.0,1e+20,N/A,N/A,1e+20,0.000559,1.0,NGC_2451A,0.1279016291591035,0.08547804446580673,196.02432633717677,0.5160336721927349,8.360315764677575,0.34526154262969644,0.6686106059503949,0.01254704562192061,3.643432047956753,0.00550101016100916,1.26,0.822,0.0,0.028,-9999.00,-9999.000,4.0,n,n,y,,,NGC_2451A,1
