NGTS_ID,Gaia_ID,RA,Dec,NGTS_mag,G_mag,BP_mag,RP_mag,Ks_mag,GmK,SpT,mult,amp_data,amp_GP,P_GP,P_GPue,P_GPle,P_LS,P_GACF,method,Prot,dr2_source_id,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_possible_binary,flag_benchmark_period
10020,2326879660246374272,23:58:28.447,-29:49:08.145,11.39,11.77,12.12,11.28,10.36,1.42,G2,--,17.1,19.8,4.00494,0.01851,0.01796,3.95148,3.9922,GP,4.00494,2326879660246374272,0.8399999999999999,2326879660246374272,0.15983143,-0.005501747,359.6184174708657,-29.818976870812065,4.191278124586459,0.015955603,262.68378,18.755000611551413,2.54736355021075,1.083532,1444.2485,11.768649,443.2266,245675.55937783996,738.82825,1.1996889,0,0,0,0,0.82774544,0.3310871,0.49665833,4.18974,1.3976814,1,31.915754,12.452984,14.170821,16.8043075422535,-78.06137706495663,346.82436758755495,-26.99611676946441,0,5696.2275,5692.27,5701.975,0.0022,0.0018,0.001,5757.761549291387,0,False,0.005501747,False,4.880381504645673,False,False,False,False,True
10029,2320869897192498432,00:03:20.576,-29:49:22.480,10.84,11.13,11.43,10.71,9.96,1.17,F8,--,11.63,10.99,2.52226,0.01479,0.0143,2.52023,2.5284,GP,2.52226,2320869897192498432,0.7199999999999989,2320869901488170624,0.061181277,0.012322426,0.8359897363983704,-29.82297498426359,4.258192614422193,0.022700496,187.58148,19.114736099040872,2.7282784846003576,1.1871357,1730.798,11.143231,567.9719,413467.58061578206,889.9412,1.1930586,0,0,0,0,0.7096853,0.2732458,0.4364395,5.669688,0.6138169,1,54.494843,12.274236,15.836358,15.804501876006904,-79.09905002935461,347.88489412667866,-27.472259608206276,0,6022.735,6010.1772,6048.407,0.0104,0.0088,0.0048,6122.09778690362,0,False,0.012322426,False,4.289357903684966,False,False,False,False,True
10246,2320872272309687808,00:02:18.527,-29:51:08.162,12.35,12.73,13.2,12.12,10.84,1.89,K2,--,35.82,32.95,6.73474,0.08649,0.08839,6.934,6.861,GP,6.73474,2320872272309687808,1.08,2320872272309687808,0.19265966,-0.0011720657,0.5774073452544992,-29.85233873829022,4.3028553861751515,0.015906652,270.50665,19.17831597656529,2.153873413956327,1.0840119,865.6454,12.7269,274.52637,113102.50950070533,353.32877,1.2202133,0,0,0,0,1.060482,0.44779682,0.6126852,7.577393,2.3831258,1,22.985142,nan,nan,15.883301436791223,-78.87333329842971,347.6441388524287,-27.39798800202866,0,5194.8423,5186.442,5201.8,0.2036,0.1642,0.0871,5072.826661645966,0,False,0.0011720657,False,5.895683851755775,False,False,False,False,True
10537,2320903848908950656,00:05:30.898,-29:53:08.093,10.84,11.13,11.42,10.72,9.99,1.14,F7,--,6.54,4.79,3.24059,0.04192,0.04557,3.27455,3.2663,GP,3.24059,2320903848908950656,0.6999999999999993,2320903848908950656,0.11792687,2.2888184e-05,1.379000441068761,-29.885590369639697,4.200626858463966,0.01862685,225.51462,18.377075692265304,2.3856200473348834,1.0112265,3049.5627,11.131253,1446.7355,414090.5088552014,2221.6487,1.1900626,0,34,0,34,0.69363785,0.2675419,0.42609596,nan,nan,-1,nan,nan,nan,14.948259880336407,-79.54688870439142,348.3281078349346,-27.739574572799935,0,6144.027,6133.4316,6155.7354,0.0108,0.0092,0.005,6178.489330622496,0,False,2.2888184e-05,False,4.247823766931685,False,False,False,False,True
10781,2320821797854098816,00:03:24.643,-29:55:14.590,13.27,13.76,14.38,13.02,11.48,2.28,K3.5,--,41.12,38.42,8.52955,0.08122,0.07984,8.74569,8.6141,GP,8.52955,2320821797854098816,1.3600000000000012,2320821797854098816,0.07467612,-0.014767647,0.8529076553435491,-29.920748391191594,4.139993761855346,0.018290315,226.34897,18.582529245868137,2.4455125629076955,1.0485435,1169.0388,13.741475,311.66644,50083.426937368065,535.4855,1.2477916,0,0,0,0,1.3529005,0.6100855,0.742815,-3.466111,2.9338853,2,11.477182,nan,nan,15.282592499753202,-79.09369610543986,347.85023583261363,-27.5662282074459,0,4447.914,4440.707,4459.6675,0.0133,0.0101,0.0053,4512.396896326365,0,False,0.014767647,False,6.8264735389169005,False,False,False,False,True
11209,2320817159289455104,00:04:03.987,-29:58:26.320,12.52,12.87,13.36,12.25,10.92,1.94,K2,--,26.72,30.56,6.32708,0.03012,0.0252,6.68009,6.5958,GP,6.32708,2320817159289455104,1.1099999999999994,2320817159289455104,0.12152646,0.011227608,1.0168593931599819,-29.974012651965204,4.257992833267177,0.020100443,211.83577,18.91964793254504,2.454929389932377,1.114258,460.1766,12.879285,122.51091,99152.08817446882,169.68115,1.2159691,0,0,0,0,1.0944586,0.47231483,0.62214375,8.75179,2.7828596,1,21.632753,nan,nan,14.84679624439203,-79.22136185819757,347.9665249571341,-27.677593914821205,0,5137.9165,5124.061,5161.2964,0.2709,0.2175,0.1158,4999.992735918444,0,False,0.011227608,False,6.025309489359405,False,False,False,False,True
12231,2320615983021130752,00:05:54.696,-30:06:25.664,11.61,11.98,12.36,11.46,10.48,1.51,G5,--,21.04,20.48,4.80126,0.01838,0.019,4.79809,4.8075,GP,4.80126,2320615983021130752,0.8999999999999986,2320615983021130752,0.14719509,-0.0053281784,1.4781203246544483,-30.10714629425591,4.319938431387164,0.01835613,235.34038,18.7751733842403,2.749756687783681,1.0833423,1605.7521,11.977903,446.77173,207792.02454998554,658.3054,1.2048258,0,29,0,28,0.87955475,0.35547447,0.5240803,nan,nan,-1,nan,nan,nan,13.64940853639189,-79.58007046099297,348.3021144205773,-27.976065556003444,0,5645.142,5628.2686,5681.1343,0.1161,0.0965,0.0515,5573.444665210222,0,False,0.0053281784,False,5.155291152131765,False,False,False,False,True
12456,2320793897745374208,00:02:21.615,-30:08:21.428,10.33,10.62,10.87,10.23,9.6,1.01,F5,--,5.82,5.8,0.95574,0.00623,0.00612,0.9482,10.584,GP,0.95574,2320793897745374208,0.6399999999999988,2320793897746881920,0.18510774,0.0018148422,0.5902492234137435,-30.13932800779985,4.21188402436879,0.025516814,165.06308,18.403731448969353,2.5570544822924957,1.0097433,2357.468,10.616818,815.86237,644451.215016057,1229.8955,1.1863103,0,0,0,0,0.6300154,0.23811722,0.39189816,7.0277643,1.2763417,1,63.234325,52.950497,9.060599,14.419285318138135,-78.82507187616028,347.51018617865554,-27.659476746451205,0,6392.5913,6376.3667,6420.196,0.0093,0.008,0.0043,6331.337731822074,0,False,0.0018148422,False,3.7392004492130297,False,False,False,False,True
12489,2320617116892496256,00:05:28.987,-30:08:31.902,12.78,13.21,13.75,12.54,11.11,2.1,K3,--,19.24,17.22,7.33008,0.04208,0.03393,7.3483,7.6276,GP,7.33008,2320617116892496256,1.2100000000000009,2320617116892496256,0.23306778,-0.00924778,1.3710038758514125,-30.14222556583975,4.572655866474899,0.0486027,94.08234,17.75305231827439,1.675760840466901,3.246532,2199.1028,13.2014675,581.46893,77354.2842869127,669.416,1.233815,0,1,0,1,1.1925392,0.51775646,0.67478275,5.8383803,1.9632444,2,16.914629,nan,nan,13.583748149923597,-79.48172407640702,348.1905628657506,-27.965672881458442,0,4843.39,4828.724,4853.819,0.168,0.1324,0.0701,4780.599334124727,0,False,0.00924778,False,6.5023101042404505,True,False,False,False,True
12641,2320617529209321728,00:04:58.805,-30:09:41.439,11.0,11.32,11.63,10.88,10.08,1.24,F9,--,23.36,21.48,2.66293,0.00754,0.00708,2.64876,2.6667,GP,2.66293,2320617529209321728,0.75,2320617529209321728,0.23177092,-0.002231598,1.2452655214181023,-30.161552626742814,4.254472930788116,0.022809837,186.51921,18.76879219601516,3.1942197755468906,1.0687981,1664.2223,11.315099,505.46307,356790.1597300105,709.3184,1.1902896,0,0,0,0,0.7402086,0.2919731,0.4482355,5.7716775,0.67282975,1,46.987694,19.50187,12.437129,13.62254404104775,-79.37152377969521,348.07080885578006,-27.93398427204309,0,5908.9277,5906.2686,5913.6787,0.0015,0.0013,0.0007,6034.0960345366675,0,False,0.002231598,False,4.459327586461704,False,False,False,False,True
12744,2314847253531620864,23:59:18.352,-30:10:16.355,12.02,12.42,12.84,11.86,10.77,1.65,G9,--,22.98,23.24,5.77742,0.01496,0.01412,5.82206,5.8099,GP,5.77742,2314847253531620864,0.9800000000000004,2314847253531620864,0.19149396,-0.011642456,359.82645050357576,-30.171261624633186,4.201756655984412,0.0141346175,297.2671,18.418364083009667,2.0001806773004236,1.0850892,1506.1179,12.410702,384.79913,145001.82172386782,553.95935,1.2121835,0,0,0,0,0.963315,0.3970747,0.5662403,6.203038,1.4958456,1,23.661165,8.571359,12.850024,14.960251085846513,-78.17271984019058,346.828421826827,-27.391784344664032,0,5353.481,5334.64,5375.601,0.0892,0.0731,0.039,5338.645753756125,0,False,0.011642456,False,5.527856235248301,False,False,False,False,True
