ID,GaiaDR2,CLHW,RA_ICRS,DE_ICRS,__B-V_0,Vmag,__V-Ks_0,Prot,e_Prot,P90,Class,Binary,_RA_icrs,_DE_icrs,Teff_Mamajek,dr2_bp_rp,dr2_source_id,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_possible_binary,flag_benchmark_period
nan,5340151951168504448,117093,166.80320999999998,-58.56857999999999,0.796,14.263,1.888,7.4053,0.0713,0.028,1,0,166.80320999999998,-58.56857999999999,5346.668742336625,1.0363159,5340151951168504448,5340151951168504448,0.05980921,-0.01511097,166.80310335890806,-58.56855534897362,2.0636859936073972,0.017258415,119.575645,-10.073528651269042,5.265040562121801,0.9583928,1819.03,14.071206,557.38043,32178.38958285569,824.7042,1.2151666,0,0,0,0,1.0203619,0.42814064,0.59222126,6.461576,7.0676856,2,3.7644317,-1,-1,289.6848303841774,1.5966574186558375,204.38828496165337,-56.120462028514986,0,5243.2773,5228.899,5258.795,0.1312,0.1066,0.0567,5187.9795,0,False,5.64442417578366,False,False,False,False,True
nan,5338643631721180160,119186,166.79749999999999,-58.98452999999999,1.002,15.118,2.452,8.3342,0.2382,0.019,1,0,166.79749999999999,-58.98452999999999,4798.519131219744,1.255786,5338643631721180160,5338643631721180160,0.05308868,-0.010852814,166.79741635211442,-58.98446949978224,2.105903766602748,0.021841098,96.41932,-10.707269174517709,5.108716583389707,1.0034101,2465.9504,14.822452,434.35345,17743.571330996467,803.65,1.2386376,0,1,0,1,1.2429991,0.54584026,0.6971588,-5.182281,8.166433,2,4.263979,-1,-1,289.8448253912351,1.212716866117134,204.90689404126124,-56.42057667178942,0,4722.707,4678.2793,4748.15,0.1279,0.0996,0.0524,4693.8984,0,False,6.4396441983214014,False,False,False,False,True
nan,5340157934103590784,120087,166.78753999999998,-58.53493999999999,0.651,13.543,1.583,5.7008,0.3693,0.025,1,0,166.78753999999998,-58.53493999999999,5726.673638181859,0.8833399,5340157934103590784,5340157934103590784,0.05917081,-0.012849808,166.78743857756913,-58.53491729628788,2.1238949423195987,0.014479227,146.68565,-10.53940805542011,5.97392313092389,0.9120843,2244.3599,13.380472,529.92377,56782.59242125984,832.3229,1.201814,0,23,0,0,0.8720846,0.35396957,0.51811504,0.55911636,3.1798613,2,9.357883,-1,-1,289.66414169167723,1.624417618994101,204.33583943299809,-56.10193702961603,0,5496.486,5477.0547,5521.8516,0.0214,0.0177,0.0095,5627.959,0,False,5.016137336848857,False,False,False,False,True
nan,5340149756485184512,123294,166.77295999999998,-58.657529999999994,1.304,16.337,3.078,11.9567,0.5113,0.047,1,0,166.77295999999998,-58.657529999999994,4293.015244618313,1.6246767,5340149756485184512,5340149756485184512,0.059190392,-0.01422596,166.77283872675605,-58.657512260777125,2.14237000144456,0.032638766,65.63882,-10.406900955238674,5.745357853480324,1.0158015,2372.6167,15.845523,327.1307,7992.828770235986,852.5448,1.2762647,0,3,0,4,1.6402912,0.7859125,0.8543787,nan,nan,-1,nan,-1,-1,289.7051399705649,1.5086255776392432,204.47901675575224,-56.195352595571016,0,4449.343,4407.494,4460.1523,0.6153,0.4564,0.2407,4162.2666,0,False,7.499995273044572,False,False,False,False,True
nan,5338637928004227840,123324,166.77653999999998,-58.99349999999999,0.842,14.402,2.026,7.1269,0.3272,0.021,1,0,166.77653999999998,-58.99349999999999,5197.382795023113,1.0939436,5338637928004227840,5338637928004227840,0.06640905,-0.01269722,166.7764533907936,-58.99343941694883,2.0653270236716685,0.017942704,115.10678,-11.166628169964925,5.74939532013068,0.9698042,1905.9474,14.199994,508.31918,29363.132371161086,644.2309,1.2226387,0,0,0,0,1.077755,0.45615005,0.6216049,3.6358678,5.6682096,2,5.6306806,-1,-1,289.83839412470746,1.2002364574902682,204.9043107758735,-56.43454315941026,0,5049.49,5037.427,5061.1323,0.1371,0.1102,0.059,5041.5913,0,False,5.774938225126579,False,False,False,False,True
nan,5340169788214923136,125919,166.75736999999998,-58.507749999999994,0.701,13.777,1.674,5.6718,0.5847,0.0213,2,0,166.75736999999998,-58.507749999999994,5605.309579399563,0.9300623,5340169788214923136,5340169788214923136,0.07280732,-0.008290291,166.75726696934248,-58.50772873325165,2.066468889962105,0.0142491935,145.02357,-10.6510066254334,5.251055639777896,0.9668827,1773.6187,13.607268,406.8484,47125.3027058227,523.515,1.2074816,0,0,0,0,0.9168825,0.3743744,0.5425081,3.4160264,4.376279,2,7.559684,-1,-1,289.6389892803853,1.6432672855964692,204.2816696846713,-56.093305308143975,0,5559.38,5466.1,5590.1094,0.0903,0.0745,0.0398,5487.012,0,False,5.183412690936976,False,False,False,False,True
nan,5340151440112463360,128008,166.74782999999996,-58.61243999999999,1.194,15.77,2.839,9.8212,0.2783,0.0205,1,0,166.74782999999996,-58.61243999999999,4480.743448428534,1.4670143,5340151440112463360,5340151440112463360,0.042670257,-0.011597633,166.7477206429717,-58.612439344387795,2.088645170352885,0.02702028,77.29917,-10.580749406116354,5.180905001626082,0.94537973,1637.4219,15.409936,300.40793,11262.25296034291,581.25964,1.2618155,0,4,0,0,1.4658937,0.6747904,0.79110336,nan,nan,-1,nan,-1,-1,289.6754466154675,1.544976908919713,204.40579553886775,-56.17207316997351,0,4466.354,4444.265,4484.3774,0.2762,0.2083,0.1094,4357.76,0,False,7.009259281707193,False,False,False,False,True
nan,5338637378248240768,131583,166.73320999999999,-59.04082999999999,1.334,16.325,3.132,12.3472,0.6494,0.0309,1,0,166.73320999999999,-59.04082999999999,4251.243797394266,1.6322107,5338637378248240768,5338637378248240768,0.07667411,-0.0066251755,166.73311079774868,-59.04078725944693,2.222451854164291,0.03379052,65.771454,-11.11861958857516,5.244307346920294,0.9977031,1259.3488,15.815416,218.16605,8352.388737704263,403.60956,1.2949933,0,27,0,27,1.647028,0.77498055,0.8720474,nan,nan,-1,nan,-1,-1,289.83641009440885,1.1479324615257727,204.93555391734114,-56.483956109268355,0,4318.7124,4298.5054,4344.1724,0.537,0.3961,0.2102,4153.6465,0,False,7.549578143332113,False,False,False,False,True
nan,5340161576236740480,136896,166.70103999999998,-58.62818999999999,0.892,14.561,1.998,7.5786,0.5601,0.018,1,0,166.70103999999998,-58.62818999999999,5226.689118123006,1.1100788,5340161576236740480,5340161576236740480,0.06841104,-0.012151718,166.70094227722987,-58.62819441473792,2.096678834314968,0.017359663,120.77877,-10.668302627508266,4.243415716643732,1.004596,2289.6482,14.353413,795.2272,25678.967594275997,879.8545,1.2219665,0,4,0,1,1.0995808,0.47011948,0.6294613,10.635781,7.5752416,2,4.4851413,-1,-1,289.6592129210839,1.520931507711143,204.39404934725798,-56.200336167758934,0,5031.7607,5020.652,5044.1763,0.1298,0.1039,0.0551,5002.761,0,False,5.9610721835359985,False,False,False,False,True
nan,5340161090862579712,143715,166.66403999999997,-58.666169999999994,0.867,14.453,1.999,8.0823,0.6592,0.0203,2,0,166.66403999999997,-58.666169999999994,5225.634318715982,1.096137,5340161090862579712,5340161090862579712,0.063221894,-0.009822845,166.66392881571784,-58.66615325539226,2.101746161471651,0.017414322,120.69067,-9.702304478677117,5.207218645903468,1.1585696,2542.1348,14.24661,662.34534,28219.837313555665,571.55304,1.2238739,0,1,0,1,1.0839224,0.45882225,0.62510014,-1.4601207,4.44576,2,3.9665396,-1,-1,289.6564094206783,1.4784591245175098,204.4167149136826,-56.24099263324209,0,5098.504,5084.925,5111.8335,0.1456,0.1169,0.062,5036.2686,0,False,5.859511002381776,False,False,False,False,True
