NGTS_ID,Gaia_ID,RA,Dec,NGTS_mag,G_mag,BP_mag,RP_mag,Ks_mag,GmK,SpT,mult,amp_data,amp_GP,P_GP,P_GPue,P_GPle,P_LS,P_GACF,method,Prot,dr2_source_id,dr2_bp_rp,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,Teff_Curtis20,nbhr_count,flag_nbhr_count,abs_magnitude_difference,flag_bad_gaiamatch,M_G,flag_ruwe_outlier,flag_camd_outlier,flag_rverror_outlier,flag_possible_binary,flag_pass_author_quality,flag_benchmark_period
6650,2320994592977961216,00:03:06.484,-29:21:43.949,11.18,11.51,11.83,11.05,10.21,1.3,G0,--,14.38,12.37,3.36032,0.0233,0.02318,3.44631,3.39640,GP,3.36032,2320994592977961216,0.7799999999999994,2320994592977961216,0.1399008,-0.0055036545,0.7772500301620716,-29.36222268434237,4.218298761900826,0.015924092,264.90042,18.3344103739646,2.3954722945696783,0.9284845,1821.9658,11.50574,638.1118,305011.6870259142,954.4819,1.1939445,0,0,0,0,0.7772093,0.30857372,0.46863556,3.6065893,0.6922109,1,46.033813,14.947265,8.674319,18.25396443907736,-79.13005345348452,348.0654009293087,-27.037343251015024,0,5817.2607,5804.1406,5834.1694,0.0151,0.0127,0.0068,5943.248499183068,0,False,0.0055036545,False,4.631426843166402,False,False,False,False,True,True
6655,2332954427629986048,23:57:57.092,-29:21:40.138,12.18,12.61,13.12,11.96,10.5,2.11,K3,c,23.59,22.92,6.08095,0.06806,0.07333,6.22988,6.20610,GP,6.08095,2332954427629986048,1.1599999999999984,2332954427629986048,0.46985525,0.0023479462,359.4876480050627,-29.361125099504232,4.163781359004815,0.05957147,69.89556,18.55176503534403,2.949258384826384,4.68564,842.18164,12.609397,237.13359,131651.33863016212,334.58682,1.2348938,0,0,0,0,1.1501265,0.49006176,0.6600647,4.043604,2.4885638,1,19.513073,,,19.071174170283026,-78.01780914606182,346.9387954401856,-26.535550774955716,0,4778.386,4760.576,4793.3223,0.0981,0.0776,0.0417,4885.863444859397,0,False,0.0023479462,False,5.7068365172431665,True,True,False,True,True,False
6897,2332909347653323136,00:02:18.006,-29:24:05.199,13.26,13.74,14.37,13.01,11.43,2.31,K4,--,16.62,17.25,9.39168,0.05983,0.05744,9.44925,9.48150,GP,9.39168,2332909347653323136,1.3599999999999994,2332909347653323136,0.03969778,-0.006747246,0.575243832883654,-29.401473128824094,4.152834786316955,0.015600362,266.20117,18.012783910167936,2.605762161925663,0.9838797,2143.512,13.73345,467.1114,50234.218571671256,721.92444,1.2457165,0,0,0,0,1.3440094,0.6059561,0.7380533,5.732488,2.61137,2,10.236797,,,18.193611395932738,-78.95007379904752,347.86893449998473,-26.993876693519013,0,4633.26,4626.58,4639.4062,0.1379,0.1055,0.0553,4512.396896326391,0,False,0.006747246,False,6.825173204732261,False,False,False,False,True,True
7039,2332907487931865728,00:01:13.985,-29:25:18.092,11.88,12.22,12.61,11.68,10.65,1.58,G7,--,19.88,20.09,5.61339,0.039,0.04007,5.63995,5.59560,GP,5.61339,2332907487931865728,0.9299999999999997,2332907487931865728,0.20605144,-0.0052251816,0.3084142976671878,-29.42170544200764,4.257129497978449,0.0134450765,316.6311,18.604257150100825,2.4761958842215828,0.9819478,1415.4382,12.219722,519.6872,169011.28498315855,682.86127,1.2061316,0,0,0,0,0.91763973,0.37602425,0.5416155,5.4635963,2.0245264,1,24.67197,12.49666,15.984784,18.27394132294463,-78.71727502977264,347.62544790782164,-26.90826218069198,0,5506.017,5483.6074,5548.181,0.1116,0.0922,0.0492,5483.507965341511,0,False,0.0052251816,False,5.3653061002197155,False,False,False,False,True,True
7061,2320990980909779968,00:03:19.769,-29:25:28.603,12.21,12.61,13.05,12.03,10.9,1.72,G9,--,19.67,19.3,6.38669,0.02152,0.02022,6.38676,6.41000,GP,6.38669,2320990980909779968,1.0200000000000014,2320990980909779968,0.17478947,-0.009457588,0.8326004809668447,-29.42463694111762,4.18410208100983,0.012880601,324.8375,18.28228795278813,2.648655684290565,1.0120809,3251.962,12.601817,1024.6287,123152.45658649362,1364.2649,1.2129353,0,0,0,0,0.9951916,0.4151621,0.5800295,6.250259,0.9073269,1,23.378607,,,17.88595603277441,-79.1677560607131,348.0825463839173,-27.11472636424864,0,5260.5503,5245.658,5269.4355,0.0871,0.0709,0.0377,5228.206520661572,0,False,0.009457588,False,5.709828489160827,False,False,False,False,True,True
7182,2320981394542904192,00:04:54.544,-29:26:27.899,14.56,15.09,16.01,14.16,12.18,2.91,K9,--,25.22,17.89,10.77166,0.13253,0.14176,10.6268,10.66670,GP,10.77166,2320981394542904192,1.8500000000000014,2320981394542904192,0.062125694,-0.013076782,1.2275062219059645,-29.441142447938777,4.125995725144807,0.028348438,145.54579,18.19236220087976,2.677719961473223,0.93252337,1677.0625,15.080639,264.73322,17425.12483959442,555.1784,1.3098427,0,0,0,0,1.8468685,0.91118526,0.93568325,24.394667,11.706137,2,4.580601,,,17.487291421735527,-79.50409395531909,348.4201299483815,-27.283283104469437,0,4053.6323,4050.9917,4058.54,0.5042,0.3614,0.197,3923.4377622908996,0,False,0.013076782,False,8.158282753869141,False,False,True,True,True,False
7217,2320978512620414080,00:04:00.799,-29:26:46.156,11.99,12.38,12.8,11.82,10.71,1.67,G9,--,30.34,27.61,5.63879,0.0183,0.01672,5.62827,5.61870,GP,5.63879,2320978512620414080,0.9800000000000004,2320978512620414080,0.19321148,-0.006890297,1.0035761191477908,-29.446180595573175,4.137607572100607,0.017584633,235.29678,18.29651166415331,2.6769044499871377,1.2636381,1253.5747,12.372774,389.1302,149524.79954731688,573.9013,1.2091508,0,0,0,0,0.95884323,0.3971815,0.5616617,4.076031,1.2990091,1,28.01031,,,17.64060405051157,-79.31106804549208,348.22142684343476,-27.20055907210453,0,5408.1436,5402.4995,5414.3374,0.1242,0.102,0.0545,5338.645753756125,0,False,0.006890297,False,5.4565206140914455,True,False,False,False,True,True
7314,2320989954413282304,00:03:29.616,-29:27:38.186,14.83,15.36,16.39,14.36,12.26,3.1,M0.5,--,31.97,29.42,7.63727,0.04892,0.0679,7.70706,7.67040,GP,7.63727,2320989954413282304,2.030000000000001,2320989954413282304,0.033952482,-0.016971588,0.8736464348856348,-29.46066244142244,4.338395145816756,0.031563856,137.4482,19.11277578710257,2.8169252519826897,0.98647696,1009.53864,15.346046,190.13007,14460.28153679136,430.26675,1.338562,0,3,0,2,2.021843,1.0232506,0.9985924,,,,,,,17.66534300699788,-79.19710124934515,348.10038517541466,-27.16292924018109,0,,,,,,,3757.417054952766,0,False,0.016971588,False,8.532691975255348,False,False,False,False,True,True
7654,2320895774370830464,00:03:11.565,-29:30:15.160,15.53,16.12,17.48,14.96,12.54,3.58,M3,c,52.7,39.02,2.72253,0.00175,0.00154,2.72297,2.71980,GP,2.72253,2320895774370830464,2.5199999999999996,2320895774370830464,0.05325336,-0.017002106,0.7984484567731961,-29.50428481473135,4.224124763280422,0.048639826,86.84498,18.331083579344543,2.566462429452413,1.0412846,886.3628,16.105495,53.697968,8339.770672346758,336.30576,1.4380722,0,3,0,2,2.4942236,1.3337383,1.1604853,,,,,,,17.494889797067394,-79.12526414664,348.0126492452575,-27.17268519749869,0,3451.0403,3447.3025,3455.1235,0.6922,0.4548,0.2854,3432.0746481591486,0,False,0.017002106,False,9.234179137825024,False,True,False,True,True,False
7670,2320933157765826560,00:05:18.358,-29:30:05.447,10.87,11.21,11.6,10.7,9.66,1.55,G7,c,25.17,24.95,0.85993,0.00389,0.00342,0.8478,5.85980,GP,0.85993,2320933157765826560,0.9000000000000004,2320933157765826560,0.23224384,0.0054121017,1.3267510052875742,-29.501551292872286,4.1657459436707445,0.021527596,193.50726,18.40061122937913,2.8292522684691144,1.1342356,1174.4802,11.21567,338.567,420274.1287245994,459.0334,1.2027403,0,0,0,0,0.88974,0.36313438,0.5266056,5.0984936,2.3459356,1,56.237247,100.70499,21.42735,17.075882620466583,-79.57850759858326,348.4766605195637,-27.3759790685648,0,5439.6704,5385.2925,5511.703,0.043,0.0356,0.0192,5573.444665210215,0,False,0.0054121017,False,4.314133532476642,False,True,True,True,True,False
7757,2320932951607396992,00:05:20.308,-29:30:55.940,14.61,15.16,16.1,14.2,12.1,3.05,M0,--,26.78,23.86,5.83534,0.02838,0.0276,5.92758,5.91050,GP,5.83534,2320932951607396992,1.9000000000000021,2320932951607396992,0.105286136,-0.017705917,1.3348541002582817,-29.515603143470525,4.181181055545557,0.027391076,152.64757,18.766330142573544,3.0016866015625583,1.0200645,1476.5563,15.13888,263.5122,16909.189333780687,505.9177,1.3244029,0,0,0,1,1.9049158,0.9436245,0.9612913,15.161492,9.039965,2,4.1564236,,,16.992415575848366,-79.58290357059089,348.4766740840412,-27.391701178654568,0,4000.4333,3995.7803,4009.7383,0.4655,0.3309,0.1825,3875.259910368244,0,False,0.017705917,False,8.24537464594853,False,False,False,False,True,True
8007,2320973839695997824,00:04:05.699,-29:33:03.777,14.15,14.69,15.58,13.77,11.77,2.93,K9,c,22.43,29.45,10.418,0.09497,0.11207,10.74492,10.42240,GP,10.418,2320973839695997824,1.8100000000000005,2320973839695997824,0.010088772,-0.011702538,1.0240100842328546,-29.551100612025035,4.200281729342616,0.027501144,152.73117,18.949950020340797,1.804436487000642,1.3361094,1217.6079,14.680808,325.27164,24896.32288393041,515.2363,1.310994,0,0,0,0,1.7919731,0.8687229,0.9232502,6.1685567,4.0390234,2,5.2541876,,,17.066879892581788,-79.31046945691281,348.1865203256015,-27.302350662936696,0,4126.6147,4111.3784,4138.6343,0.4953,0.3574,0.1943,3963.068245239556,0,False,0.011702538,False,7.7972001733534615,True,True,False,True,True,False
