Seq,KIC,dr2_source_id,Gmag,BP-RP,Teff,Mass,SpT,Per,e_Per,NQ,f_Seq,Simbad,_RA,_DE,dr3_source_id,angular_distance,magnitude_difference,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_expected_sig_to_noise,vbroad,vbroad_error,l,b,ecl_lon,ecl_lat,non_single_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,azero_gspphot,ag_gspphot,ebpminrp_gspphot,nbhr_count,flag_nbhr_count,flag_bad_gaiamatch,M_G
125,9838228,2128139634997621376,16.863,1.341,4626,0.758,K4,12.02,0.1978,6,Y,Simbad,294.73475,46.6248,2128139634997621376,0.018525071,-0.0153160095,294.7347246878296,46.62475745273888,0.9207263940536698,0.04590699,20.056345,-3.3435387935323364,-8.893939221208324,0.9434681,1676.1971,16.847267,140.5161,2827.6910660142453,350.5815,1.23686,0,2,0,0,1.336956,0.609005,0.72795105,,,,,,,79.55804417158444,11.868363531680792,315.42154713645687,66.20729767906904,0,4576.143,4550.695,4610.8037,0.0733,0.0561,0.0295,0,False,False,6.667920116161492
126,9897654,2128144204842804992,16.904,1.347,4616,0.756,K4,11.02,0.0965,6,Y,Simbad,294.55711,46.73328,2128144204842804992,0.021569762,-0.015810013,294.5570858322945,46.73324117861492,0.8778912335077164,0.04801362,18.284212,-3.4397271246054775,-8.658989875294113,0.9957877,1574.9688,16.887882,106.993774,2743.353265070718,259.00583,1.2539558,0,1,0,2,1.3156796,0.5799885,0.7356911,,,,,,,79.60011370422198,12.026250510658517,315.25673726709454,66.35638694130914,0,4601.5435,4564.6816,4636.779,0.0939,0.0721,0.038,0,False,False,6.605085793896453
127,9593626,2128116540951535744,16.871,1.362,4590,0.75,K4,11.61,0.1967,11,Y,Simbad,294.05998,46.29221,2128116540951535744,0.024195518,-0.015937805,294.05995455399596,46.29217296185138,0.9177339418572517,0.044989154,20.399004,-3.4424243664915046,-8.733488126746419,0.93898135,1431.8955,16.855215,117.56205,2834.2181137755983,277.89487,1.2512864,0,0,0,1,1.330574,0.5921707,0.7384033,,,,,,,79.03962820612185,12.132076034180576,314.03688133593477,66.09230238667034,0,4654.2275,4611.2847,4689.5625,0.164,0.1261,0.0664,0,False,False,6.668799043285597
128,9716918,2128133518964044032,16.91,1.366,4583,0.749,K4,11.92,0.819,11,Y,Simbad,294.53509,46.42825,2128133518964044032,0.032410663,-0.01606369,294.5350663387027,46.42820861842208,0.8934508174817231,0.045647137,19.572987,-3.392757944964935,-8.833862710791282,0.9860746,1713.1809,16.894384,86.85271,2710.1503611430157,252.5902,1.2399695,0,0,0,1,1.3318634,0.6028919,0.7289715,,,,,,,79.31530233531112,11.901182247632955,314.9124645138345,66.08434977401984,0,4599.8135,4568.542,4629.9414,0.1302,0.0998,0.0526,0,False,False,6.64973763683485
129,9593890,2128119087873694208,16.76,1.369,4578,0.748,K4,11.53,0.1579,11,Y,Simbad,294.16133,46.25295,2128119087873694208,0.027682995,-0.014293671,294.16130485907627,46.252909105438796,0.9405067680576036,0.04030066,23.337255,-3.5217744968377653,-8.688524202917836,0.98862314,1775.468,16.745275,242.99611,3124.3155866615743,361.97833,1.2435656,0,2,0,3,1.3382854,0.60401726,0.7342682,,,,,,,79.03607113251367,12.051842439512946,314.15633369218597,66.02827026018001,0,4597.054,4564.2505,4631.5303,0.2771,0.2136,0.1134,0,False,False,6.6120851232347775
130,9895567,2128179114337220608,17.001,1.383,4555,0.743,K4,12.43,0.3667,4,Y,Simbad,293.81584,46.70715,2128179114337220608,0.0070591206,-0.017641068,293.815812470987,46.707107827321806,0.8504794823453383,0.04842438,17.563044,-3.403658257206611,-8.751212520378477,0.9876861,1416.816,16.983198,127.61602,2544.567701517656,301.70584,1.249509,0,1,0,0,1.3681507,0.61881256,0.74933815,,,,,,,79.34216842877176,12.468286313102663,314.06882189833243,66.53979438034705,0,4598.9526,4581.439,4615.6133,0.1414,0.1078,0.0564,0,False,False,6.631517369912304
131,9897050,2128155161299953024,16.975,1.39,4543,0.74,K4,12.1,0.2839,6,Y,Simbad,294.34314,46.72777,2128155161299953024,0.02356794,-0.020601273,294.3431228564157,46.72773370287425,0.7115307597888095,0.047200527,15.0746355,-3.3565284529538952,-8.834031414508615,0.98612016,1331.0923,16.954348,178.72484,2617.061475694041,231.73042,1.2493359,0,4,0,2,1.3736439,0.6226578,0.7509861,,,,,,,79.52718056476138,12.154518487116153,314.9173438074821,66.41163898881373,0,4466.5596,4447.084,4487.5913,0.0871,0.0663,0.0349,0,False,False,6.2153160083150425
132,9596065,2080085685465236864,16.908,1.4,4527,0.737,K4,12.3,0.1932,2,Y,Simbad,294.95148,46.20653,2080085685465236864,0.05071488,-0.017946243,294.9514550310774,46.206494840673116,0.8595699725467325,0.046120416,18.637516,-3.439010919514674,-8.773073677779738,0.9444591,1574.7129,16.88969,152.95984,2791.2847115452482,185.30908,1.2470838,0,0,0,1,1.39604,0.63973427,0.7563057,,,,,,,79.24812048361342,11.54406307337637,315.3342382073818,65.76457119813932,0,4387.1343,4374.1216,4417.0645,0.0184,0.0139,0.0074,0,False,False,6.561096578305142
133,9533430,2080064554225921792,17.054,1.407,4516,0.735,K4,11.91,0.2322,6,Y,Simbad,294.64571,46.13456,2080064554225921792,0.027317446,-0.014642715,294.64569089862,46.13452286064329,0.8796012867631958,0.05116189,17.19251,-3.3458281100067992,-8.751274131076428,1.0557709,1442.312,17.039127,152.58621,2425.371310727424,317.64435,1.2477256,0,0,0,0,1.3846531,0.63147545,0.75317764,,,,,,,79.08379505796195,11.699334766047489,314.7914567487424,65.78491398531756,0,4574.4146,4551.2495,4600.0483,0.199,0.1515,0.0798,0,False,False,6.760556629932948
134,9897078,2128155096879780736,17.033,1.413,4507,0.733,K4,12.35,0.267,6,Y,Simbad,294.35243,46.72312,2128155096879780736,0.020495744,-0.014362335,294.35240977151517,46.72308178741356,1.0224507795376685,0.0502485,20.347887,-3.3645188008652944,-8.672164065792957,1.0530078,1337.7474,17.01898,173.32329,2472.6732341103516,394.86252,1.2450111,0,2,0,0,1.3944988,0.6404972,0.7540016,,,,,,,79.52587710122113,12.146737465490204,314.92709095429905,66.40478695295226,0,4553.314,4529.141,4578.3115,0.2432,0.1858,0.0977,1,True,False,7.067192078152036
135,9838655,2080477558281297152,17.138,1.418,4499,0.731,K4,12.54,0.0794,2,Y,Simbad,294.90313,46.66936,2080477558281297152,0.026959497,-0.016757965,294.90310804555384,46.66931622252709,0.9505869734448144,0.056898136,16.706821,-3.5319301421344322,-8.832726522265096,1.0164946,1328.3265,17.121185,93.45458,2267.9174091616314,271.15082,1.2485498,0,2,0,0,1.4109154,0.64855766,0.7623577,,,,,,,79.65249311106811,11.785892312221288,315.72805314920544,66.20002825081885,0,4509.774,4494.5884,4530.0615,0.129,0.0975,0.0513,4,True,False,7.011144595533553
