Cluster,SourceID,Prot,GaiaDR2,RA_ICRS,DE_ICRS,plx,e_plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,BPmag,RPmag,BP-RP,Delta,Pmemb,Class,MG0proj,Mass,Teff,FlagMT,SimbadName,_RA_icrs,_DE_icrs,recno
M37,Hartman08 232,1.78663489,3451197915318636032,87.9086369752,32.6739284651,0.7839,0.2972,1.7090000000000003,0.56,-5.666,0.48400000000000004,19.09375,20.12272,18.093279,2.0294418,0.316,0.994,probable-member,7.776,0.635,4077,faint,Cl* NGC 2099 HGH V232,87.90862823432481,32.67395285971073,2136
M37,Hartman08 233,12.74358869,3451197812244822016,87.9092370611,32.6475426724,0.6341,0.4155,3.4340000000000006,0.9140000000000001,-6.463000000000001,0.801,19.561953,20.423742,18.45415,1.969593,1.095,0.989,probable-member,8.239,0.59,3873,faint,Cl* NGC 2099 HGH V233,87.90921950018715,32.647570499733895,2137
M37,Hartman08 248,9.5099376,3451194651143095808,87.913944868,32.6106824128,0.4331,0.1206,2.027,0.22400000000000003,-5.565,0.18400000000000002,17.689846,18.38337,16.87227,1.5110989,1.116,0.989,probable-member,6.313,0.789,4888,intermediate,Cl* NGC 2099 HGH V248,87.91393450668532,32.610706372977816,2140
M37,Hartman08 251,7.72735017,3451179361059116416,87.9156990491,32.459854896,0.6326,0.0836,1.8000000000000003,0.18100000000000002,-5.567000000000001,0.15300000000000002,16.912645,17.444939,16.185757,1.259182,0.42,0.999,probable-member,5.284,0.941,5527,bright,Cl* NGC 2099 HGH V251,87.91568986281175,32.459878863038604,2141
M37,Hartman08 253,9.50996637,3451173107586623616,87.9165285613,32.4022885466,0.5348,0.1064,2.1020000000000003,0.21800000000000003,-5.549,0.18000000000000002,17.306982,17.936323,16.53251,1.4038124,0.801,0.997,probable-member,5.904,0.845,5134,bright,Cl* NGC 2099 HGH V253,87.91651784023081,32.40231243686232,2142
M37,Hartman08 269,7.33485027,3451191696205317120,87.9229451524,32.5120814395,0.5314,0.125,2.176,0.23000000000000004,-5.5280000000000005,0.19200000000000003,17.34974,17.951292,16.564184,1.3871078,0.816,0.997,probable-member,5.836,0.854,5176,bright,Cl* NGC 2099 HGH V269,87.92293404393972,32.51210523866166,2143
M37,Hartman08 292,3.14817326,3451192142882053632,87.9359554787,32.5637758704,0.6436,0.0456,2.1550000000000002,0.09200000000000001,-5.540000000000001,0.07700000000000001,15.603954,16.037231,14.990983,1.0462484,0.744,1.0,probable-member,4.263,1.134,6176,bright,Cl* NGC 2099 HGH V292,87.93594446806252,32.56379972344389,2147
M37,Hartman08 295,10.64946936,3451194891661628672,87.93719611,32.6603307823,0.6156,0.1214,1.9010000000000002,0.22500000000000003,-5.602,0.18400000000000002,17.773903,18.538584,16.904484,1.6341,0.264,0.999,probable-member,6.628,0.749,4708,intermediate,Cl* NGC 2099 HGH V295,87.93718638645795,32.660354904171484,2149
M37,Hartman08 311,6.25216124,3451194616783664768,87.9573938128,32.6284289783,0.7457,0.1643,2.055,0.30900000000000005,-5.628000000000001,0.252,18.301851,19.035673,17.37115,1.6645241,0.336,0.999,probable-member,6.917,0.719,4527,intermediate,Cl* NGC 2099 HGH V311,87.95738330929015,32.62845321141196,2152
M37,Hartman08 314,3.91581267,3451193659008912384,87.9586204537,32.5864983084,0.5952,0.0519,2.1990000000000003,0.09400000000000001,-5.586,0.08000000000000002,15.563522,15.992931,14.955906,1.0370255,1.028,0.999,probable-member,4.215,1.144,6206,bright,Cl* NGC 2099 HGH V314,87.958609214615,32.58652236070147,2153
